# J, eta_p, CT, CP
0.00,0.0000,0.1649,0.1637
0.04,0.0462,0.1651,0.1610
0.08,0.0923,0.1651,0.1581
0.11,0.1385,0.1651,0.1550
0.15,0.1842,0.1650,0.1520
0.19,0.2308,0.1647,0.1487
0.23,0.2774,0.1644,0.1454
0.26,0.3240,0.1639,0.1423
0.30,0.3718,0.1632,0.1389
0.34,0.4205,0.1623,0.1355
0.38,0.4704,0.1608,0.1319
0.42,0.5217,0.1585,0.1279
0.45,0.5720,0.1553,0.1240
0.49,0.6209,0.1509,0.1198
0.53,0.6648,0.1451,0.1157
0.57,0.7018,0.1373,0.1112
0.61,0.7311,0.1287,0.1067
0.64,0.7558,0.1200,0.1022
0.68,0.7781,0.1110,0.0972
0.72,0.7976,0.1018,0.0918
0.76,0.8144,0.0925,0.0860
0.79,0.8272,0.0830,0.0798
0.83,0.8364,0.0732,0.0729
0.87,0.8402,0.0633,0.0656
0.91,0.8353,0.0531,0.0578
0.95,0.8180,0.0428,0.0495
0.98,0.7792,0.0323,0.0408
1.02,0.6953,0.0216,0.0318
1.06,0.5120,0.0109,0.0226
1.10,0.0022,0.0000,0.0134
