# J, eta_p, CT, CP
0.0,0.00,0.0982,0.1208
0.0,0.05,0.0985,0.1188
0.1,0.09,0.0988,0.1169
0.1,0.14,0.0990,0.1138
0.2,0.18,0.0994,0.1131
0.2,0.22,0.0996,0.1108
0.2,0.27,0.0998,0.1084
0.3,0.32,0.0997,0.1049
0.3,0.36,0.0998,0.1032
0.4,0.40,0.0998,0.1014
0.4,0.45,0.0995,0.0975
0.5,0.50,0.0992,0.0960
0.5,0.54,0.0988,0.0944
0.5,0.60,0.0977,0.0902
0.6,0.64,0.0964,0.0887
0.6,0.69,0.0942,0.0856
0.7,0.74,0.0913,0.0822
0.7,0.78,0.0872,0.0793
0.7,0.81,0.0819,0.0758
0.8,0.83,0.0756,0.0721
0.8,0.85,0.0690,0.0679
0.9,0.86,0.0621,0.0630
0.9,0.87,0.0550,0.0577
1.0,0.88,0.0477,0.0518
1.0,0.89,0.0400,0.0451
1.0,0.89,0.0323,0.0380
1.1,0.87,0.0245,0.0303
1.1,0.84,0.0164,0.0221
1.2,0.71,0.0083,0.0140
1.2,-0.02,-0.0002,0.0057
