# J, eta_p, CT, CP
0.0,0.00,0.1017,0.0381
0.0,0.06,0.1003,0.0378
0.0,0.11,0.0986,0.0375
0.1,0.17,0.0967,0.0371
0.1,0.22,0.0946,0.0368
0.1,0.27,0.0923,0.0364
0.1,0.32,0.0897,0.0360
0.1,0.36,0.0871,0.0356
0.2,0.41,0.0842,0.0351
0.2,0.45,0.0812,0.0346
0.2,0.49,0.0781,0.0341
0.2,0.52,0.0749,0.0335
0.3,0.56,0.0715,0.0328
0.3,0.59,0.0681,0.0320
0.3,0.61,0.0646,0.0312
0.3,0.64,0.0610,0.0303
0.3,0.66,0.0573,0.0293
0.4,0.69,0.0535,0.0281
0.4,0.70,0.0496,0.0269
0.4,0.72,0.0455,0.0255
0.4,0.73,0.0414,0.0240
0.4,0.74,0.0372,0.0224
0.5,0.74,0.0329,0.0208
0.5,0.74,0.0285,0.0189
0.5,0.72,0.0239,0.0170
0.5,0.69,0.0194,0.0150
0.5,0.63,0.0147,0.0130
0.6,0.53,0.0098,0.0110
0.6,0.34,0.0050,0.0089
0.6,-0.00,0.0000,0.0069
