# J, eta_p, CT, CP
0.0,0.00,0.0871,0.0362
0.0,0.05,0.0859,0.0356
0.0,0.11,0.0846,0.0349
0.1,0.16,0.0830,0.0343
0.1,0.21,0.0814,0.0338
0.1,0.26,0.0796,0.0332
0.1,0.31,0.0777,0.0327
0.1,0.35,0.0757,0.0322
0.2,0.40,0.0735,0.0317
0.2,0.44,0.0712,0.0312
0.2,0.48,0.0687,0.0307
0.2,0.52,0.0662,0.0301
0.3,0.56,0.0634,0.0294
0.3,0.59,0.0605,0.0287
0.3,0.62,0.0574,0.0280
0.3,0.64,0.0542,0.0271
0.3,0.67,0.0509,0.0262
0.4,0.69,0.0474,0.0253
0.4,0.70,0.0440,0.0242
0.4,0.72,0.0404,0.0230
0.4,0.73,0.0367,0.0217
0.5,0.73,0.0330,0.0203
0.5,0.74,0.0291,0.0187
0.5,0.73,0.0252,0.0170
0.5,0.72,0.0212,0.0152
0.5,0.70,0.0172,0.0132
0.6,0.66,0.0130,0.0111
0.6,0.58,0.0088,0.0089
0.6,0.41,0.0044,0.0066
0.6,0.00,0.0000,0.0046
