# J, eta_p, CT, CP
0.00,1.3988,0.1066,0.0575
0.03,1.3917,0.1055,0.0565
0.05,0.1063,0.1003,0.0516
0.08,0.1590,0.0996,0.0508
0.11,0.2115,0.0986,0.0501
0.13,0.2634,0.0975,0.0494
0.16,0.3146,0.0961,0.0488
0.18,0.3648,0.0946,0.0481
0.21,0.4132,0.0927,0.0475
0.24,0.4602,0.0904,0.0468
0.26,0.5048,0.0879,0.0460
0.29,0.5470,0.0850,0.0451
0.32,0.5864,0.0819,0.0442
0.34,0.6226,0.0784,0.0431
0.37,0.6550,0.0747,0.0421
0.39,0.6843,0.0708,0.0409
0.42,0.7102,0.0664,0.0395
0.45,0.7332,0.0619,0.0378
0.47,0.7535,0.0573,0.0361
0.50,0.7714,0.0526,0.0341
0.53,0.7868,0.0478,0.0320
0.55,0.7994,0.0429,0.0297
0.58,0.8086,0.0379,0.0271
0.60,0.8136,0.0327,0.0243
0.63,0.8117,0.0274,0.0213
0.66,0.7983,0.0222,0.0183
0.68,0.7651,0.0168,0.0150
0.71,0.6957,0.0113,0.0116
0.74,0.5339,0.0057,0.0079
0.76,-0.0018,-0.0000,0.0044
