# J, eta_p, CT, CP
0.0,0.00,0.1020,0.1072
0.0,0.05,0.1023,0.1059
0.1,0.11,0.1026,0.1044
0.1,0.16,0.1029,0.1028
0.2,0.21,0.1032,0.1012
0.2,0.26,0.1034,0.0996
0.2,0.31,0.1035,0.0979
0.3,0.36,0.1036,0.0962
0.3,0.41,0.1036,0.0945
0.4,0.46,0.1035,0.0928
0.4,0.51,0.1032,0.0912
0.5,0.55,0.1029,0.0896
0.5,0.60,0.1024,0.0881
0.5,0.65,0.1016,0.0866
0.6,0.70,0.1002,0.0848
0.6,0.75,0.0974,0.0825
0.7,0.79,0.0931,0.0799
0.7,0.81,0.0875,0.0771
0.8,0.84,0.0813,0.0740
0.8,0.85,0.0745,0.0700
0.8,0.87,0.0676,0.0657
0.9,0.88,0.0606,0.0609
0.9,0.89,0.0535,0.0555
1.0,0.90,0.0461,0.0497
1.0,0.91,0.0388,0.0432
1.1,0.91,0.0313,0.0363
1.1,0.90,0.0237,0.0288
1.1,0.87,0.0159,0.0208
1.2,0.78,0.0080,0.0122
1.2,-0.00,0.0000,0.0041
