# J, eta_p, CT, CP
0.0,0.00,0.0924,0.0678
0.0,0.06,0.0923,0.0669
0.1,0.11,0.0922,0.0660
0.1,0.17,0.0921,0.0650
0.1,0.22,0.0918,0.0641
0.2,0.28,0.0915,0.0631
0.2,0.33,0.0911,0.0621
0.2,0.38,0.0905,0.0612
0.3,0.44,0.0898,0.0601
0.3,0.49,0.0888,0.0592
0.4,0.54,0.0875,0.0583
0.4,0.59,0.0857,0.0573
0.4,0.64,0.0835,0.0563
0.5,0.68,0.0807,0.0550
0.5,0.73,0.0774,0.0537
0.5,0.76,0.0736,0.0521
0.6,0.79,0.0694,0.0502
0.6,0.82,0.0649,0.0481
0.6,0.85,0.0601,0.0457
0.7,0.87,0.0551,0.0431
0.7,0.89,0.0501,0.0404
0.8,0.91,0.0450,0.0373
0.8,0.92,0.0396,0.0339
0.8,0.93,0.0342,0.0302
0.9,0.94,0.0288,0.0264
0.9,0.94,0.0232,0.0222
0.9,0.93,0.0176,0.0177
1.0,0.89,0.0118,0.0128
1.0,0.79,0.0059,0.0076
1.0,-0.02,-0.0000,0.0028
