# J, eta_p, CT, CP
0.0,0.00,0.1119,0.1293
0.0,0.06,0.1124,0.1278
0.1,0.11,0.1128,0.1263
0.1,0.16,0.1133,0.1247
0.2,0.22,0.1136,0.1230
0.2,0.27,0.1140,0.1212
0.3,0.32,0.1142,0.1195
0.3,0.37,0.1144,0.1177
0.4,0.42,0.1145,0.1159
0.4,0.47,0.1145,0.1143
0.5,0.51,0.1144,0.1127
0.5,0.56,0.1141,0.1112
0.6,0.61,0.1136,0.1098
0.6,0.65,0.1130,0.1086
0.7,0.70,0.1120,0.1074
0.7,0.75,0.1101,0.1056
0.8,0.79,0.1064,0.1029
0.8,0.82,0.1006,0.0995
0.9,0.84,0.0936,0.0955
0.9,0.86,0.0859,0.0904
1.0,0.87,0.0779,0.0847
1.0,0.89,0.0698,0.0785
1.0,0.90,0.0615,0.0716
1.1,0.91,0.0532,0.0639
1.1,0.92,0.0447,0.0556
1.2,0.92,0.0360,0.0465
1.2,0.92,0.0273,0.0367
1.3,0.90,0.0183,0.0262
1.3,0.81,0.0092,0.0151
1.4,-0.00,0.0000,0.0047
