# J, eta_p, CT, CP
0.0,0.00,0.0951,0.0527
0.0,0.05,0.0950,0.0522
0.1,0.11,0.0948,0.0516
0.1,0.16,0.0945,0.0510
0.1,0.21,0.0941,0.0504
0.1,0.27,0.0935,0.0491
0.2,0.32,0.0927,0.0485
0.2,0.37,0.0917,0.0484
0.2,0.42,0.0902,0.0479
0.2,0.47,0.0884,0.0473
0.3,0.52,0.0862,0.0468
0.3,0.56,0.0835,0.0461
0.3,0.60,0.0806,0.0454
0.4,0.63,0.0773,0.0444
0.4,0.67,0.0737,0.0433
0.4,0.70,0.0698,0.0420
0.4,0.72,0.0656,0.0405
0.5,0.75,0.0612,0.0389
0.5,0.77,0.0567,0.0370
0.5,0.79,0.0520,0.0350
0.6,0.80,0.0473,0.0329
0.6,0.81,0.0425,0.0306
0.6,0.82,0.0376,0.0280
0.6,0.83,0.0325,0.0252
0.7,0.83,0.0273,0.0221
0.7,0.82,0.0220,0.0187
0.7,0.80,0.0167,0.0152
0.8,0.74,0.0112,0.0115
0.8,0.60,0.0056,0.0075
0.8,-0.00,0.0000,0.0047
