# J, eta_p, CT, CP
0.00,0.0000,0.0936,0.0397
0.02,0.0558,0.0927,0.0396
0.05,0.1106,0.0918,0.0395
0.07,0.1640,0.0906,0.0393
0.09,0.2162,0.0894,0.0392
0.12,0.2670,0.0880,0.0390
0.14,0.3163,0.0864,0.0388
0.16,0.3640,0.0847,0.0385
0.19,0.4100,0.0827,0.0381
0.21,0.4539,0.0806,0.0378
0.23,0.4957,0.0782,0.0373
0.26,0.5353,0.0755,0.0366
0.28,0.5722,0.0726,0.0359
0.30,0.6063,0.0693,0.0351
0.33,0.6372,0.0658,0.0341
0.35,0.6648,0.0621,0.0331
0.37,0.6895,0.0584,0.0320
0.40,0.7118,0.0545,0.0307
0.42,0.7316,0.0505,0.0293
0.44,0.7494,0.0464,0.0277
0.47,0.7643,0.0421,0.0260
0.49,0.7758,0.0378,0.0241
0.52,0.7832,0.0334,0.0221
0.54,0.7846,0.0289,0.0199
0.56,0.7768,0.0243,0.0177
0.59,0.7545,0.0196,0.0154
0.61,0.7107,0.0149,0.0129
0.63,0.6296,0.0100,0.0102
0.66,0.4610,0.0050,0.0074
0.68,-0.0026,0.0000,0.0045
