# J, eta_p, CT, CP
0.0,0.00,0.1103,0.0497
0.0,0.06,0.1093,0.0494
0.0,0.12,0.1081,0.0491
0.1,0.17,0.1066,0.0487
0.1,0.23,0.1049,0.0484
0.1,0.28,0.1028,0.0480
0.2,0.33,0.1005,0.0475
0.2,0.38,0.0980,0.0471
0.2,0.43,0.0953,0.0465
0.2,0.47,0.0923,0.0459
0.3,0.51,0.0892,0.0452
0.3,0.55,0.0859,0.0445
0.3,0.59,0.0824,0.0436
0.3,0.62,0.0785,0.0426
0.4,0.65,0.0744,0.0414
0.4,0.68,0.0702,0.0401
0.4,0.71,0.0658,0.0387
0.4,0.73,0.0614,0.0371
0.5,0.75,0.0568,0.0354
0.5,0.77,0.0522,0.0335
0.5,0.79,0.0474,0.0314
0.5,0.80,0.0425,0.0291
0.6,0.81,0.0376,0.0266
0.6,0.81,0.0325,0.0239
0.6,0.81,0.0273,0.0210
0.7,0.80,0.0220,0.0179
0.7,0.77,0.0167,0.0146
0.7,0.72,0.0112,0.0110
0.7,0.56,0.0056,0.0073
0.8,-0.00,0.0000,0.0043
