# J, eta_p, CT, CP
0.0,0.00,0.1205,0.0792
0.0,0.07,0.1207,0.0808
0.1,0.14,0.1209,0.0826
0.1,0.20,0.1212,0.0846
0.2,0.26,0.1215,0.0867
0.2,0.32,0.1218,0.0889
0.3,0.37,0.1221,0.0914
0.3,0.42,0.1224,0.0940
0.4,0.47,0.1226,0.0965
0.4,0.52,0.1227,0.0990
0.5,0.56,0.1226,0.1014
0.5,0.60,0.1223,0.1037
0.5,0.63,0.1216,0.1057
0.6,0.67,0.1205,0.1075
0.6,0.70,0.1188,0.1090
0.7,0.73,0.1166,0.1098
0.7,0.76,0.1133,0.1098
0.8,0.78,0.1078,0.1074
0.8,0.80,0.1005,0.1028
0.9,0.82,0.0923,0.0975
0.9,0.84,0.0838,0.0916
1.0,0.85,0.0753,0.0851
1.0,0.86,0.0668,0.0780
1.0,0.87,0.0577,0.0699
1.1,0.87,0.0485,0.0609
1.1,0.87,0.0392,0.0512
1.2,0.86,0.0296,0.0407
1.2,0.83,0.0199,0.0294
1.3,0.74,0.0100,0.0174
1.3,0.00,-0.0000,0.0065
