# J, eta_p, CT, CP
0.0,0.00,0.2375,0.1467
0.0,0.07,0.2371,0.1514
0.1,0.13,0.2366,0.1554
0.1,0.18,0.2360,0.1595
0.2,0.24,0.2351,0.1635
0.2,0.29,0.2339,0.1668
0.3,0.34,0.2322,0.1709
0.3,0.38,0.2300,0.1742
0.3,0.43,0.2272,0.1773
0.4,0.46,0.2234,0.1799
0.4,0.50,0.2186,0.1819
0.5,0.53,0.2126,0.1826
0.5,0.56,0.2053,0.1822
0.5,0.59,0.1967,0.1801
0.6,0.62,0.1869,0.1763
0.6,0.64,0.1766,0.1717
0.7,0.66,0.1660,0.1664
0.7,0.68,0.1552,0.1604
0.7,0.70,0.1440,0.1535
0.8,0.72,0.1325,0.1459
0.8,0.73,0.1206,0.1375
0.9,0.74,0.1086,0.1283
0.9,0.74,0.0962,0.1183
1.0,0.74,0.0835,0.1073
1.0,0.74,0.0705,0.0954
1.0,0.72,0.0571,0.0827
1.1,0.68,0.0434,0.0691
1.1,0.60,0.0293,0.0550
1.2,0.43,0.0148,0.0403
1.2,-0.00,-0.0000,0.0249
