# J, eta_p, CT, CP
0.0,0.00,0.0897,0.0546
0.0,0.04,0.0896,0.0550
0.1,0.08,0.0896,0.0550
0.1,0.11,0.0895,0.0554
0.1,0.15,0.0895,0.0556
0.1,0.19,0.0894,0.0554
0.1,0.23,0.0894,0.0553
0.2,0.26,0.0892,0.0561
0.2,0.30,0.0891,0.0560
0.2,0.33,0.0889,0.0561
0.2,0.37,0.0886,0.0561
0.3,0.40,0.0881,0.0562
0.3,0.44,0.0872,0.0561
0.3,0.47,0.0858,0.0556
0.3,0.50,0.0833,0.0545
0.3,0.53,0.0792,0.0527
0.4,0.55,0.0745,0.0505
0.4,0.57,0.0697,0.0482
0.4,0.59,0.0645,0.0459
0.4,0.60,0.0592,0.0434
0.5,0.62,0.0538,0.0408
0.5,0.62,0.0483,0.0379
0.5,0.63,0.0428,0.0350
0.5,0.62,0.0370,0.0318
0.6,0.61,0.0312,0.0285
0.6,0.59,0.0252,0.0250
0.6,0.54,0.0190,0.0215
0.6,0.45,0.0129,0.0181
0.7,0.28,0.0065,0.0149
0.7,-0.00,-0.0001,0.0119
