# J, eta_p, CT, CP
0.0,0.00,0.1487,0.2118
0.0,0.05,0.1490,0.2073
0.1,0.09,0.1493,0.2028
0.1,0.14,0.1495,0.1981
0.2,0.18,0.1495,0.1936
0.2,0.22,0.1494,0.1887
0.3,0.27,0.1490,0.1833
0.3,0.31,0.1483,0.1774
0.3,0.36,0.1473,0.1711
0.4,0.40,0.1460,0.1648
0.4,0.44,0.1442,0.1586
0.5,0.49,0.1421,0.1524
0.5,0.53,0.1393,0.1460
0.6,0.58,0.1360,0.1393
0.6,0.62,0.1321,0.1327
0.6,0.67,0.1274,0.1261
0.7,0.71,0.1217,0.1192
0.7,0.75,0.1152,0.1121
0.8,0.78,0.1082,0.1051
0.8,0.81,0.0998,0.0970
0.9,0.84,0.0914,0.0887
0.9,0.85,0.0821,0.0840
0.9,0.87,0.0733,0.0758
1.0,0.87,0.0629,0.0685
1.0,0.88,0.0536,0.0590
1.1,0.89,0.0443,0.0492
1.1,0.89,0.0345,0.0383
1.2,0.87,0.0246,0.0268
1.2,0.74,0.0108,0.0177
1.3,0.02,0.0002,0.0052
