# J, eta_p, CT, CP
0.0,0.00,0.1776,0.0949
0.0,0.05,0.1748,0.0938
0.1,0.11,0.1717,0.0928
0.1,0.16,0.1683,0.0918
0.1,0.21,0.1647,0.0909
0.1,0.26,0.1607,0.0899
0.2,0.31,0.1565,0.0889
0.2,0.35,0.1519,0.0878
0.2,0.40,0.1470,0.0866
0.3,0.44,0.1418,0.0853
0.3,0.48,0.1362,0.0839
0.3,0.51,0.1305,0.0824
0.4,0.54,0.1246,0.0806
0.4,0.57,0.1185,0.0786
0.4,0.60,0.1123,0.0765
0.4,0.63,0.1059,0.0741
0.5,0.65,0.0993,0.0714
0.5,0.67,0.0926,0.0684
0.5,0.69,0.0856,0.0651
0.6,0.71,0.0785,0.0615
0.6,0.73,0.0713,0.0577
0.6,0.74,0.0639,0.0535
0.6,0.74,0.0564,0.0492
0.7,0.74,0.0486,0.0445
0.7,0.72,0.0408,0.0397
0.7,0.69,0.0329,0.0348
0.8,0.63,0.0250,0.0301
0.8,0.52,0.0166,0.0249
0.8,0.34,0.0085,0.0206
0.9,-0.02,-0.0003,0.0157
