# J, eta_p, CT, CP
0.0,0.00,0.2217,0.2608
0.0,0.05,0.2213,0.2562
0.1,0.09,0.2208,0.2516
0.1,0.14,0.2202,0.2467
0.2,0.18,0.2193,0.2417
0.2,0.23,0.2183,0.2367
0.3,0.27,0.2170,0.2315
0.3,0.32,0.2153,0.2264
0.4,0.36,0.2132,0.2209
0.4,0.41,0.2105,0.2153
0.5,0.46,0.2073,0.2097
0.5,0.50,0.2035,0.2040
0.5,0.55,0.1985,0.1976
0.6,0.59,0.1917,0.1900
0.6,0.64,0.1826,0.1813
0.7,0.68,0.1724,0.1730
0.7,0.71,0.1618,0.1661
0.8,0.73,0.1510,0.1593
0.8,0.75,0.1396,0.1517
0.9,0.77,0.1281,0.1436
0.9,0.78,0.1163,0.1350
0.9,0.79,0.1042,0.1258
1.0,0.79,0.0918,0.1159
1.0,0.78,0.0791,0.1055
1.1,0.76,0.0663,0.0949
1.1,0.72,0.0533,0.0840
1.2,0.65,0.0402,0.0728
1.2,0.53,0.0266,0.0607
1.3,0.34,0.0135,0.0494
1.3,-0.00,-0.0000,0.0379
