# J, eta_p, CT, CP
0.0,0.00,0.0887,0.0951
0.1,0.06,0.0890,0.0951
0.1,0.12,0.0893,0.0947
0.1,0.18,0.0897,0.0952
0.2,0.24,0.0900,0.0952
0.2,0.29,0.0904,0.0960
0.3,0.34,0.0908,0.0955
0.3,0.39,0.0911,0.0962
0.4,0.43,0.0914,0.0960
0.4,0.48,0.0916,0.0961
0.5,0.52,0.0918,0.0964
0.5,0.56,0.0919,0.0959
0.6,0.60,0.0920,0.0965
0.6,0.63,0.0918,0.0966
0.7,0.67,0.0913,0.0966
0.7,0.70,0.0904,0.0970
0.8,0.73,0.0888,0.0968
0.8,0.75,0.0866,0.0957
0.8,0.78,0.0834,0.0932
0.9,0.81,0.0791,0.0895
0.9,0.84,0.0730,0.0839
1.0,0.86,0.0660,0.0776
1.0,0.87,0.0586,0.0709
1.1,0.87,0.0507,0.0634
1.1,0.86,0.0428,0.0563
1.2,0.83,0.0346,0.0492
1.2,0.78,0.0262,0.0414
1.3,0.67,0.0174,0.0331
1.3,0.47,0.0088,0.0249
1.4,-0.00,-0.0000,0.0163
