# J, eta_p, CT, CP
0.0,0.00,0.0613,0.0262
0.0,0.04,0.0610,0.0262
0.0,0.08,0.0606,0.0262
0.1,0.12,0.0602,0.0264
0.1,0.16,0.0597,0.0263
0.1,0.20,0.0591,0.0262
0.1,0.23,0.0584,0.0261
0.1,0.27,0.0577,0.0261
0.1,0.30,0.0568,0.0259
0.2,0.34,0.0557,0.0256
0.2,0.37,0.0545,0.0254
0.2,0.40,0.0530,0.0251
0.2,0.43,0.0514,0.0247
0.2,0.46,0.0495,0.0242
0.2,0.49,0.0475,0.0237
0.3,0.51,0.0452,0.0230
0.3,0.53,0.0427,0.0223
0.3,0.55,0.0398,0.0213
0.3,0.57,0.0369,0.0203
0.3,0.58,0.0338,0.0192
0.3,0.59,0.0307,0.0181
0.4,0.59,0.0275,0.0169
0.4,0.59,0.0242,0.0157
0.4,0.58,0.0209,0.0143
0.4,0.57,0.0175,0.0129
0.4,0.53,0.0141,0.0115
0.4,0.48,0.0107,0.0100
0.5,0.40,0.0072,0.0085
0.5,0.25,0.0036,0.0069
0.5,-0.00,-0.0000,0.0053
