# J, eta_p, CT, CP
0.0,0.00,0.1033,0.0759
0.0,0.05,0.1027,0.0737
0.1,0.09,0.1020,0.0715
0.1,0.14,0.1010,0.0691
0.1,0.19,0.0999,0.0666
0.1,0.24,0.0985,0.0640
0.2,0.28,0.0969,0.0613
0.2,0.33,0.0950,0.0587
0.2,0.38,0.0928,0.0561
0.2,0.43,0.0902,0.0536
0.3,0.47,0.0873,0.0512
0.3,0.51,0.0839,0.0490
0.3,0.55,0.0803,0.0470
0.3,0.59,0.0765,0.0453
0.4,0.62,0.0727,0.0438
0.4,0.65,0.0687,0.0423
0.4,0.67,0.0645,0.0408
0.4,0.70,0.0603,0.0390
0.5,0.71,0.0558,0.0373
0.5,0.73,0.0513,0.0354
0.5,0.74,0.0467,0.0333
0.6,0.75,0.0420,0.0310
0.6,0.76,0.0372,0.0285
0.6,0.76,0.0322,0.0257
0.6,0.76,0.0270,0.0227
0.7,0.74,0.0219,0.0195
0.7,0.71,0.0166,0.0162
0.7,0.64,0.0112,0.0126
0.7,0.48,0.0057,0.0089
0.8,0.00,0.0000,0.0053
