# J, eta_p, CT, CP
0.00,0.0000,0.1204,0.0795
0.03,0.0483,0.1198,0.0773
0.05,0.0968,0.1190,0.0751
0.08,0.1458,0.1179,0.0727
0.11,0.1954,0.1166,0.0703
0.14,0.2456,0.1150,0.0678
0.16,0.2962,0.1131,0.0654
0.19,0.3466,0.1109,0.0631
0.22,0.3962,0.1083,0.0610
0.25,0.4440,0.1054,0.0592
0.27,0.4893,0.1021,0.0576
0.30,0.5317,0.0986,0.0560
0.33,0.5709,0.0947,0.0546
0.35,0.6067,0.0905,0.0531
0.38,0.6387,0.0860,0.0516
0.41,0.6669,0.0812,0.0499
0.44,0.6918,0.0762,0.0482
0.46,0.7142,0.0711,0.0463
0.49,0.7342,0.0659,0.0441
0.52,0.7516,0.0605,0.0418
0.55,0.7662,0.0551,0.0393
0.57,0.7776,0.0496,0.0366
0.60,0.7858,0.0439,0.0336
0.63,0.7903,0.0380,0.0302
0.65,0.7891,0.0319,0.0265
0.68,0.7770,0.0257,0.0227
0.71,0.7465,0.0194,0.0186
0.74,0.6844,0.0130,0.0142
0.76,0.5366,0.0066,0.0096
0.79,-0.0023,0.0000,0.0051
