# J, eta_p, CT, CP
0.00,0.0000,0.1075,0.0594
0.02,0.0488,0.1066,0.0576
0.05,0.0981,0.1054,0.0559
0.07,0.1478,0.1040,0.0542
0.10,0.1976,0.1024,0.0526
0.12,0.2474,0.1007,0.0511
0.14,0.2964,0.0986,0.0497
0.17,0.3441,0.0964,0.0485
0.19,0.3903,0.0938,0.0473
0.22,0.4351,0.0911,0.0462
0.24,0.4779,0.0881,0.0450
0.26,0.5167,0.0849,0.0440
0.29,0.5529,0.0814,0.0429
0.31,0.5858,0.0777,0.0419
0.34,0.6154,0.0737,0.0407
0.36,0.6424,0.0696,0.0394
0.39,0.6665,0.0651,0.0379
0.41,0.6884,0.0609,0.0364
0.43,0.7074,0.0564,0.0347
0.46,0.7237,0.0519,0.0329
0.48,0.7368,0.0472,0.0310
0.51,0.7468,0.0424,0.0289
0.53,0.7530,0.0375,0.0265
0.55,0.7556,0.0325,0.0239
0.58,0.7493,0.0273,0.0212
0.60,0.7304,0.0220,0.0183
0.63,0.6923,0.0166,0.0153
0.65,0.6194,0.0111,0.0120
0.67,0.4570,0.0056,0.0087
0.70,-0.0063,-0.0001,0.0054
