# J, eta_p, CT, CP
0.00,0.0000,0.1301,0.0536
0.02,0.0552,0.1273,0.0533
0.05,0.1088,0.1245,0.0530
0.07,0.1605,0.1215,0.0526
0.09,0.2102,0.1183,0.0521
0.12,0.2580,0.1150,0.0516
0.14,0.3036,0.1116,0.0510
0.16,0.3472,0.1081,0.0505
0.18,0.3885,0.1043,0.0497
0.21,0.4277,0.1005,0.0490
0.23,0.4646,0.0965,0.0481
0.25,0.4995,0.0924,0.0471
0.28,0.5324,0.0883,0.0461
0.30,0.5631,0.0841,0.0450
0.32,0.5916,0.0797,0.0437
0.35,0.6179,0.0751,0.0423
0.37,0.6422,0.0705,0.0407
0.39,0.6632,0.0656,0.0390
0.42,0.6813,0.0607,0.0372
0.44,0.6963,0.0558,0.0353
0.46,0.7084,0.0507,0.0332
0.49,0.7131,0.0455,0.0312
0.51,0.7146,0.0403,0.0288
0.53,0.7006,0.0349,0.0266
0.55,0.6780,0.0293,0.0242
0.58,0.6357,0.0237,0.0217
0.60,0.5629,0.0180,0.0195
0.62,0.4465,0.0120,0.0173
0.65,0.2739,0.0061,0.0147
0.67,-0.0039,-0.0001,0.0123
