# J, eta_p, CT, CP
0.00,0.0000,0.1079,0.0606
0.03,0.0494,0.1072,0.0592
0.05,0.0993,0.1063,0.0577
0.08,0.1499,0.1053,0.0563
0.10,0.2009,0.1040,0.0549
0.13,0.2521,0.1025,0.0536
0.15,0.3028,0.1008,0.0524
0.18,0.3522,0.0988,0.0514
0.21,0.3999,0.0965,0.0505
0.23,0.4454,0.0939,0.0495
0.26,0.4886,0.0911,0.0486
0.28,0.5292,0.0879,0.0476
0.31,0.5664,0.0844,0.0466
0.34,0.6004,0.0806,0.0454
0.36,0.6311,0.0766,0.0442
0.39,0.6586,0.0723,0.0428
0.41,0.6833,0.0680,0.0413
0.44,0.7056,0.0634,0.0396
0.46,0.7254,0.0587,0.0378
0.49,0.7427,0.0540,0.0358
0.52,0.7572,0.0491,0.0336
0.54,0.7689,0.0441,0.0313
0.57,0.7772,0.0390,0.0287
0.59,0.7811,0.0338,0.0258
0.62,0.7774,0.0285,0.0229
0.64,0.7624,0.0230,0.0197
0.67,0.7295,0.0175,0.0163
0.70,0.6645,0.0118,0.0127
0.72,0.5120,0.0059,0.0089
0.75,-0.0012,0.0000,0.0051
