# J, eta_p, CT, CP
0.00,0.0000,0.1035,0.0416
0.02,0.0543,0.1022,0.0412
0.04,0.1082,0.1009,0.0408
0.07,0.1615,0.0993,0.0403
0.09,0.2140,0.0974,0.0398
0.11,0.2649,0.0953,0.0393
0.13,0.3137,0.0930,0.0389
0.15,0.3602,0.0904,0.0384
0.17,0.4042,0.0876,0.0378
0.20,0.4458,0.0845,0.0372
0.22,0.4849,0.0813,0.0366
0.24,0.5214,0.0779,0.0359
0.26,0.5552,0.0745,0.0351
0.28,0.5863,0.0709,0.0343
0.30,0.6150,0.0673,0.0334
0.33,0.6413,0.0635,0.0324
0.35,0.6651,0.0597,0.0313
0.37,0.6865,0.0558,0.0301
0.39,0.7054,0.0517,0.0288
0.41,0.7213,0.0475,0.0273
0.43,0.7336,0.0432,0.0257
0.46,0.7417,0.0388,0.0240
0.48,0.7444,0.0342,0.0221
0.50,0.7399,0.0296,0.0202
0.52,0.7242,0.0247,0.0180
0.54,0.6949,0.0200,0.0159
0.56,0.6387,0.0152,0.0137
0.59,0.5434,0.0102,0.0113
0.61,0.3631,0.0052,0.0090
0.63,-0.0034,-0.0000,0.0069
