# J, eta_p, CT, CP
0.00,0.0000,0.1214,0.1009
0.04,0.0515,0.1215,0.0996
0.07,0.1022,0.1216,0.0983
0.11,0.1523,0.1216,0.0969
0.14,0.2019,0.1215,0.0956
0.18,0.2519,0.1215,0.0939
0.21,0.3002,0.1213,0.0927
0.25,0.3489,0.1210,0.0914
0.29,0.3976,0.1206,0.0900
0.32,0.4469,0.1198,0.0884
0.36,0.4962,0.1186,0.0868
0.39,0.5456,0.1169,0.0851
0.43,0.5931,0.1145,0.0833
0.47,0.6376,0.1114,0.0815
0.50,0.6775,0.1072,0.0795
0.54,0.7128,0.1021,0.0770
0.57,0.7430,0.0961,0.0742
0.61,0.7685,0.0895,0.0710
0.64,0.7905,0.0828,0.0676
0.68,0.8099,0.0760,0.0639
0.72,0.8268,0.0691,0.0598
0.75,0.8413,0.0620,0.0554
0.79,0.8535,0.0547,0.0505
0.82,0.8624,0.0472,0.0451
0.86,0.8665,0.0396,0.0393
0.90,0.8628,0.0319,0.0331
0.93,0.8426,0.0241,0.0267
0.97,0.7900,0.0162,0.0199
1.00,0.6430,0.0082,0.0128
1.04,-0.0013,0.0000,0.0064
