# J, eta_p, CT, CP
0.00,0.0000,0.1681,0.1544
0.04,0.0473,0.1681,0.1517
0.07,0.0947,0.1680,0.1489
0.11,0.1420,0.1678,0.1460
0.15,0.1896,0.1675,0.1431
0.19,0.2374,0.1670,0.1401
0.22,0.2857,0.1663,0.1370
0.26,0.3345,0.1655,0.1339
0.30,0.3839,0.1643,0.1307
0.33,0.4339,0.1627,0.1275
0.37,0.4842,0.1605,0.1241
0.41,0.5342,0.1575,0.1207
0.44,0.5827,0.1535,0.1172
0.48,0.6276,0.1483,0.1138
0.52,0.6673,0.1419,0.1102
0.56,0.7015,0.1346,0.1065
0.59,0.7307,0.1262,0.1023
0.63,0.7557,0.1177,0.0979
0.67,0.7779,0.1090,0.0933
0.70,0.7977,0.1001,0.0882
0.74,0.8152,0.0910,0.0826
0.78,0.8306,0.0817,0.0764
0.81,0.8436,0.0721,0.0696
0.85,0.8527,0.0624,0.0623
0.89,0.8572,0.0524,0.0543
0.93,0.8543,0.0423,0.0458
0.96,0.8355,0.0319,0.0368
1.00,0.7846,0.0214,0.0273
1.04,0.6410,0.0108,0.0175
1.07,-0.0038,-0.0000,0.0084
