# J, eta_p, CT, CP
0.00,0.0000,0.1094,0.0932
0.04,0.0505,0.1094,0.0920
0.07,0.1002,0.1095,0.0907
0.11,0.1494,0.1095,0.0894
0.14,0.1983,0.1094,0.0879
0.18,0.2464,0.1093,0.0866
0.21,0.2952,0.1092,0.0850
0.25,0.3435,0.1089,0.0835
0.28,0.3922,0.1086,0.0819
0.32,0.4413,0.1081,0.0803
0.35,0.4910,0.1073,0.0787
0.39,0.5413,0.1061,0.0769
0.42,0.5912,0.1043,0.0750
0.46,0.6392,0.1019,0.0731
0.49,0.6830,0.0987,0.0712
0.53,0.7213,0.0945,0.0692
0.56,0.7535,0.0892,0.0667
0.60,0.7794,0.0831,0.0638
0.63,0.8007,0.0769,0.0608
0.67,0.8193,0.0705,0.0576
0.70,0.8352,0.0641,0.0540
0.74,0.8486,0.0574,0.0500
0.77,0.8593,0.0507,0.0457
0.81,0.8664,0.0438,0.0410
0.84,0.8677,0.0368,0.0358
0.88,0.8602,0.0297,0.0303
0.92,0.8349,0.0224,0.0246
0.95,0.7710,0.0151,0.0186
0.99,0.6036,0.0076,0.0124
1.02,-0.0012,-0.0000,0.0067
