# J, eta_p, CT, CP
0.00,0.0000,0.0906,0.0451
0.02,0.0519,0.0900,0.0442
0.05,0.1039,0.0893,0.0434
0.07,0.1561,0.0884,0.0426
0.10,0.2082,0.0874,0.0419
0.12,0.2600,0.0862,0.0411
0.15,0.3113,0.0849,0.0404
0.17,0.3617,0.0833,0.0397
0.20,0.4108,0.0815,0.0390
0.22,0.4578,0.0794,0.0384
0.24,0.5023,0.0771,0.0377
0.27,0.5444,0.0746,0.0370
0.29,0.5836,0.0717,0.0362
0.32,0.6197,0.0686,0.0353
0.34,0.6523,0.0653,0.0344
0.37,0.6810,0.0616,0.0332
0.39,0.7057,0.0577,0.0321
0.42,0.7278,0.0538,0.0308
0.44,0.7475,0.0498,0.0294
0.46,0.7647,0.0458,0.0278
0.49,0.7793,0.0416,0.0261
0.51,0.7910,0.0373,0.0242
0.54,0.7988,0.0329,0.0222
0.56,0.8022,0.0285,0.0200
0.59,0.7991,0.0239,0.0176
0.61,0.7849,0.0193,0.0150
0.64,0.7527,0.0146,0.0123
0.66,0.6816,0.0098,0.0095
0.69,0.5110,0.0049,0.0067
0.71,-0.0014,0.0000,0.0039
