# J, eta_p, CT, CP
0.00,0.0000,0.1051,0.0677
0.03,0.0521,0.1051,0.0669
0.06,0.1038,0.1050,0.0661
0.09,0.1554,0.1048,0.0651
0.12,0.2071,0.1046,0.0641
0.15,0.2583,0.1043,0.0633
0.18,0.3100,0.1038,0.0623
0.21,0.3619,0.1030,0.0613
0.24,0.4167,0.1018,0.0597
0.27,0.4647,0.1003,0.0592
0.30,0.5133,0.0983,0.0582
0.33,0.5579,0.0958,0.0574
0.36,0.5986,0.0928,0.0565
0.39,0.6358,0.0892,0.0554
0.42,0.6706,0.0851,0.0540
0.45,0.6993,0.0808,0.0527
0.48,0.7268,0.0761,0.0509
0.51,0.7513,0.0710,0.0488
0.54,0.7729,0.0657,0.0464
0.57,0.7921,0.0603,0.0438
0.60,0.8085,0.0548,0.0410
0.63,0.8223,0.0491,0.0380
0.66,0.8329,0.0434,0.0348
0.69,0.8402,0.0376,0.0312
0.73,0.8432,0.0316,0.0272
0.76,0.8368,0.0254,0.0230
0.79,0.8166,0.0193,0.0187
0.82,0.7630,0.0130,0.0140
0.85,0.6310,0.0065,0.0090
0.88,-0.0182,-0.0001,0.0050
