# J, eta_p, CT, CP
0.00,0.0000,0.0851,0.0300
0.02,0.0532,0.0835,0.0299
0.04,0.1047,0.0817,0.0296
0.06,0.1544,0.0798,0.0295
0.07,0.2023,0.0778,0.0292
0.09,0.2481,0.0757,0.0289
0.11,0.2919,0.0734,0.0286
0.13,0.3337,0.0711,0.0283
0.15,0.3734,0.0687,0.0278
0.17,0.4108,0.0662,0.0274
0.18,0.4462,0.0635,0.0269
0.20,0.4795,0.0609,0.0263
0.22,0.5108,0.0581,0.0257
0.24,0.5401,0.0553,0.0251
0.26,0.5674,0.0524,0.0244
0.28,0.5924,0.0495,0.0236
0.30,0.6150,0.0465,0.0227
0.31,0.6349,0.0434,0.0219
0.33,0.6517,0.0402,0.0210
0.35,0.6655,0.0370,0.0200
0.37,0.6760,0.0337,0.0189
0.39,0.6823,0.0303,0.0177
0.41,0.6831,0.0268,0.0164
0.43,0.6767,0.0232,0.0151
0.44,0.6624,0.0196,0.0136
0.46,0.6340,0.0158,0.0120
0.48,0.5818,0.0120,0.0104
0.50,0.4879,0.0080,0.0088
0.52,0.3160,0.0041,0.0072
0.54,-0.0069,-0.0001,0.0058
