# J, eta_p, CT, CP
0.00,0.0000,0.0988,0.0505
0.03,0.0524,0.0983,0.0499
0.05,0.1047,0.0977,0.0492
0.08,0.1569,0.0969,0.0486
0.10,0.2087,0.0959,0.0480
0.13,0.2596,0.0947,0.0474
0.15,0.3092,0.0932,0.0469
0.18,0.3575,0.0915,0.0463
0.20,0.4044,0.0895,0.0457
0.23,0.4499,0.0874,0.0450
0.25,0.4935,0.0848,0.0441
0.28,0.5351,0.0819,0.0432
0.30,0.5728,0.0788,0.0422
0.33,0.6065,0.0753,0.0413
0.35,0.6372,0.0716,0.0402
0.38,0.6647,0.0676,0.0390
0.40,0.6898,0.0636,0.0377
0.43,0.7128,0.0594,0.0362
0.45,0.7333,0.0550,0.0345
0.48,0.7512,0.0506,0.0327
0.50,0.7662,0.0460,0.0307
0.53,0.7776,0.0413,0.0285
0.56,0.7847,0.0365,0.0262
0.58,0.7864,0.0315,0.0236
0.61,0.7788,0.0265,0.0209
0.63,0.7580,0.0213,0.0180
0.66,0.7165,0.0161,0.0150
0.68,0.6345,0.0108,0.0119
0.71,0.4415,0.0054,0.0090
0.73,-0.0019,0.0000,0.0067
