# J, eta_p, CT, CP
0.00,0.0000,0.1116,0.0586
0.03,0.0538,0.1111,0.0580
0.05,0.1072,0.1106,0.0575
0.08,0.1603,0.1098,0.0570
0.11,0.2131,0.1089,0.0564
0.14,0.2651,0.1076,0.0559
0.16,0.3159,0.1061,0.0553
0.19,0.3650,0.1042,0.0548
0.22,0.4123,0.1020,0.0542
0.24,0.4576,0.0993,0.0535
0.27,0.5006,0.0963,0.0526
0.30,0.5412,0.0930,0.0516
0.32,0.5794,0.0893,0.0504
0.35,0.6142,0.0853,0.0491
0.38,0.6454,0.0810,0.0478
0.41,0.6734,0.0765,0.0464
0.43,0.6991,0.0719,0.0448
0.46,0.7226,0.0672,0.0430
0.49,0.7437,0.0623,0.0410
0.51,0.7626,0.0572,0.0387
0.54,0.7791,0.0521,0.0363
0.57,0.7925,0.0468,0.0337
0.59,0.8027,0.0414,0.0308
0.62,0.8088,0.0358,0.0277
0.65,0.8081,0.0302,0.0244
0.68,0.7966,0.0243,0.0208
0.70,0.7685,0.0184,0.0170
0.73,0.7085,0.0124,0.0131
0.76,0.5396,0.0063,0.0092
0.78,0.0020,0.0000,0.0061
