# J, eta_p, CT, CP
0.00,0.0000,0.0944,0.0465
0.03,0.0577,0.0942,0.0461
0.05,0.1146,0.0938,0.0457
0.08,0.1711,0.0934,0.0452
0.11,0.2269,0.0927,0.0448
0.13,0.2818,0.0918,0.0443
0.16,0.3352,0.0906,0.0439
0.19,0.3874,0.0891,0.0435
0.22,0.4372,0.0873,0.0430
0.24,0.4844,0.0850,0.0425
0.27,0.5291,0.0823,0.0419
0.30,0.5711,0.0794,0.0412
0.32,0.6099,0.0763,0.0404
0.35,0.6455,0.0729,0.0395
0.38,0.6777,0.0692,0.0385
0.40,0.7065,0.0653,0.0373
0.43,0.7319,0.0613,0.0360
0.46,0.7546,0.0571,0.0347
0.48,0.7749,0.0529,0.0331
0.51,0.7929,0.0485,0.0313
0.54,0.8087,0.0440,0.0294
0.57,0.8215,0.0395,0.0272
0.59,0.8312,0.0349,0.0249
0.62,0.8372,0.0302,0.0223
0.65,0.8379,0.0254,0.0196
0.67,0.8290,0.0205,0.0166
0.70,0.8051,0.0155,0.0135
0.73,0.7521,0.0104,0.0101
0.75,0.6067,0.0052,0.0065
0.78,-0.0004,0.0000,0.0039
