# J, eta_p, CT, CP
0.00,0.0000,0.1202,0.0737
0.04,0.0709,0.1204,0.0754
0.09,0.1385,0.1206,0.0772
0.13,0.2026,0.1208,0.0791
0.17,0.2633,0.1210,0.0812
0.22,0.3206,0.1213,0.0834
0.26,0.3744,0.1215,0.0858
0.30,0.4249,0.1216,0.0883
0.35,0.4722,0.1217,0.0908
0.39,0.5166,0.1216,0.0931
0.44,0.5581,0.1212,0.0954
0.48,0.5971,0.1205,0.0973
0.52,0.6334,0.1195,0.0991
0.57,0.6671,0.1180,0.1005
0.61,0.6985,0.1159,0.1015
0.65,0.7269,0.1131,0.1018
0.70,0.7529,0.1091,0.1010
0.74,0.7763,0.1027,0.0979
0.78,0.7970,0.0954,0.0938
0.83,0.8151,0.0877,0.0890
0.87,0.8294,0.0799,0.0838
0.91,0.8411,0.0718,0.0780
0.96,0.8507,0.0635,0.0714
1.00,0.8576,0.0550,0.0642
1.04,0.8619,0.0462,0.0560
1.09,0.8612,0.0373,0.0471
1.13,0.8515,0.0282,0.0375
1.17,0.8205,0.0189,0.0271
1.22,0.7178,0.0095,0.0163
1.26,-0.0040,-0.0000,0.0063
