# J, eta_p, CT, CP
0.00,0.0000,0.1205,0.0824
0.05,0.0749,0.1208,0.0844
0.10,0.1461,0.1211,0.0866
0.15,0.2136,0.1214,0.0889
0.21,0.2773,0.1218,0.0914
0.26,0.3371,0.1221,0.0941
0.31,0.3931,0.1225,0.0970
0.36,0.4453,0.1230,0.1001
0.41,0.4940,0.1234,0.1033
0.46,0.5396,0.1238,0.1065
0.51,0.5814,0.1242,0.1101
0.56,0.6203,0.1245,0.1137
0.62,0.6562,0.1245,0.1172
0.67,0.6892,0.1241,0.1205
0.72,0.7195,0.1233,0.1234
0.77,0.7467,0.1218,0.1259
0.82,0.7719,0.1192,0.1271
0.87,0.7951,0.1151,0.1264
0.92,0.8167,0.1080,0.1223
0.98,0.8353,0.0994,0.1161
1.03,0.8509,0.0906,0.1093
1.08,0.8640,0.0816,0.1018
1.13,0.8743,0.0721,0.0931
1.18,0.8829,0.0624,0.0834
1.23,0.8892,0.0529,0.0732
1.28,0.8930,0.0427,0.0614
1.33,0.8908,0.0324,0.0485
1.39,0.8680,0.0218,0.0348
1.44,0.7662,0.0110,0.0206
1.49,0.0185,0.0001,0.0075
