# J, eta_p, CT, CP
0.00,0.0000,0.0897,0.0546
0.02,0.0382,0.0896,0.0550
0.05,0.0763,0.0896,0.0550
0.07,0.1134,0.0895,0.0554
0.09,0.1507,0.0895,0.0556
0.12,0.1885,0.0894,0.0554
0.14,0.2262,0.0894,0.0553
0.16,0.2600,0.0892,0.0561
0.19,0.2968,0.0891,0.0560
0.21,0.3325,0.0889,0.0561
0.23,0.3684,0.0886,0.0561
0.26,0.4020,0.0881,0.0562
0.28,0.4350,0.0872,0.0561
0.30,0.4679,0.0858,0.0556
0.33,0.4986,0.0833,0.0545
0.35,0.5257,0.0792,0.0527
0.37,0.5507,0.0745,0.0505
0.40,0.5731,0.0697,0.0482
0.42,0.5900,0.0645,0.0459
0.44,0.6047,0.0592,0.0434
0.47,0.6156,0.0538,0.0408
0.49,0.6237,0.0483,0.0379
0.51,0.6269,0.0428,0.0350
0.54,0.6243,0.0370,0.0318
0.56,0.6127,0.0312,0.0285
0.58,0.5860,0.0252,0.0250
0.61,0.5358,0.0190,0.0215
0.63,0.4462,0.0129,0.0181
0.65,0.2849,0.0065,0.0149
0.68,-0.0026,-0.0001,0.0119
