# J, eta_p, CT, CP
0.00,0.0000,0.1487,0.2118
0.04,0.0460,0.1490,0.2073
0.09,0.0912,0.1493,0.2028
0.13,0.1359,0.1495,0.1981
0.17,0.1800,0.1495,0.1936
0.22,0.2238,0.1494,0.1887
0.26,0.2676,0.1490,0.1833
0.30,0.3114,0.1483,0.1774
0.35,0.3554,0.1473,0.1711
0.39,0.3995,0.1460,0.1648
0.43,0.4437,0.1442,0.1586
0.48,0.4882,0.1421,0.1524
0.52,0.5333,0.1393,0.1460
0.56,0.5788,0.1360,0.1393
0.61,0.6242,0.1321,0.1327
0.65,0.6688,0.1274,0.1261
0.69,0.7116,0.1217,0.1192
0.73,0.7513,0.1152,0.1121
0.78,0.7846,0.1082,0.1051
0.82,0.8143,0.0998,0.0970
0.86,0.8402,0.0914,0.0887
0.91,0.8528,0.0821,0.0840
0.95,0.8698,0.0733,0.0758
0.99,0.8735,0.0629,0.0685
1.04,0.8846,0.0536,0.0590
1.08,0.8903,0.0443,0.0492
1.12,0.8872,0.0345,0.0383
1.17,0.8662,0.0246,0.0268
1.21,0.7437,0.0108,0.0177
1.25,0.0199,0.0002,0.0052
