# J, eta_p, CT, CP
0.00,0.0000,0.0795,0.0280
0.02,0.0486,0.0777,0.0277
0.03,0.0957,0.0759,0.0273
0.05,0.1410,0.0739,0.0270
0.07,0.1844,0.0719,0.0268
0.08,0.2258,0.0698,0.0265
0.10,0.2653,0.0676,0.0261
0.12,0.3026,0.0654,0.0258
0.13,0.3377,0.0631,0.0255
0.15,0.3707,0.0608,0.0251
0.17,0.4018,0.0584,0.0247
0.19,0.4309,0.0559,0.0243
0.20,0.4581,0.0534,0.0238
0.22,0.4832,0.0508,0.0233
0.24,0.5062,0.0481,0.0226
0.25,0.5267,0.0454,0.0220
0.27,0.5447,0.0426,0.0213
0.29,0.5604,0.0397,0.0205
0.30,0.5735,0.0367,0.0196
0.32,0.5835,0.0337,0.0187
0.34,0.5905,0.0306,0.0177
0.35,0.5928,0.0275,0.0166
0.37,0.5890,0.0243,0.0155
0.39,0.5784,0.0210,0.0143
0.40,0.5577,0.0177,0.0131
0.42,0.5227,0.0143,0.0118
0.44,0.4675,0.0109,0.0104
0.46,0.3802,0.0073,0.0090
0.47,0.2380,0.0037,0.0076
0.49,-0.0019,-0.0000,0.0063
