# J, eta_p, CT, CP
0.00,0.0000,0.1184,0.0906
0.03,0.0477,0.1179,0.0886
0.05,0.0947,0.1173,0.0866
0.08,0.1412,0.1165,0.0845
0.11,0.1872,0.1155,0.0821
0.14,0.2329,0.1143,0.0797
0.16,0.2784,0.1129,0.0771
0.19,0.3236,0.1112,0.0748
0.22,0.3686,0.1093,0.0721
0.24,0.4135,0.1069,0.0693
0.27,0.4580,0.1042,0.0664
0.30,0.5015,0.1011,0.0636
0.33,0.5434,0.0975,0.0608
0.35,0.5826,0.0936,0.0581
0.38,0.6183,0.0890,0.0556
0.41,0.6495,0.0841,0.0532
0.43,0.6755,0.0789,0.0511
0.46,0.6976,0.0737,0.0490
0.49,0.7162,0.0684,0.0469
0.52,0.7327,0.0629,0.0444
0.54,0.7463,0.0572,0.0418
0.57,0.7568,0.0514,0.0388
0.60,0.7635,0.0454,0.0356
0.62,0.7656,0.0393,0.0321
0.65,0.7610,0.0330,0.0284
0.68,0.7458,0.0267,0.0244
0.71,0.7068,0.0202,0.0203
0.73,0.6221,0.0135,0.0161
0.76,0.4417,0.0067,0.0119
0.79,-0.0064,-0.0001,0.0078
