# J, eta_p, CT, CP
0.00,0.0000,0.0893,0.0954
0.04,0.0569,0.0895,0.0942
0.08,0.1120,0.0897,0.0932
0.12,0.1650,0.0899,0.0927
0.16,0.2156,0.0902,0.0933
0.20,0.2645,0.0904,0.0929
0.24,0.3111,0.0900,0.0918
0.28,0.3567,0.0905,0.0910
0.32,0.3997,0.0903,0.0903
0.36,0.4414,0.0905,0.0899
0.40,0.4824,0.0902,0.0883
0.44,0.5208,0.0899,0.0876
0.48,0.5589,0.0894,0.0865
0.52,0.5950,0.0888,0.0856
0.56,0.6312,0.0877,0.0840
0.60,0.6654,0.0865,0.0831
0.64,0.6985,0.0847,0.0817
0.68,0.7299,0.0820,0.0796
0.72,0.7621,0.0778,0.0758
0.76,0.7916,0.0724,0.0710
0.80,0.8160,0.0663,0.0660
0.84,0.8350,0.0598,0.0608
0.88,0.8473,0.0532,0.0555
0.92,0.8571,0.0462,0.0497
0.96,0.8574,0.0391,0.0439
1.00,0.8489,0.0315,0.0373
1.04,0.8193,0.0239,0.0304
1.08,0.7416,0.0161,0.0237
1.12,0.5465,0.0082,0.0171
1.16,0.0329,0.0004,0.0108
