# J, eta_p, CT, CP
0.00,0.0000,0.0885,0.0468
0.02,0.0543,0.0881,0.0465
0.05,0.1072,0.0877,0.0462
0.07,0.1587,0.0871,0.0459
0.10,0.2088,0.0864,0.0455
0.12,0.2577,0.0857,0.0450
0.15,0.3054,0.0847,0.0446
0.17,0.3518,0.0836,0.0440
0.20,0.3969,0.0823,0.0435
0.22,0.4407,0.0807,0.0427
0.25,0.4833,0.0783,0.0416
0.27,0.5238,0.0754,0.0403
0.30,0.5608,0.0721,0.0390
0.32,0.5939,0.0687,0.0378
0.35,0.6236,0.0652,0.0367
0.37,0.6502,0.0616,0.0355
0.40,0.6731,0.0578,0.0343
0.42,0.6922,0.0540,0.0330
0.45,0.7087,0.0500,0.0316
0.47,0.7225,0.0459,0.0300
0.50,0.7333,0.0418,0.0283
0.52,0.7409,0.0375,0.0264
0.55,0.7449,0.0332,0.0244
0.57,0.7440,0.0288,0.0221
0.60,0.7360,0.0242,0.0197
0.62,0.7143,0.0195,0.0171
0.65,0.6660,0.0148,0.0144
0.67,0.5687,0.0099,0.0118
0.70,0.3845,0.0050,0.0092
0.72,-0.0027,-0.0000,0.0066
