# J, eta_p, CT, CP
0.00,0.0000,0.0613,0.0262
0.02,0.0404,0.0610,0.0262
0.03,0.0803,0.0606,0.0262
0.05,0.1192,0.0602,0.0264
0.07,0.1582,0.0597,0.0263
0.09,0.1963,0.0591,0.0262
0.10,0.2332,0.0584,0.0261
0.12,0.2692,0.0577,0.0261
0.14,0.3046,0.0568,0.0259
0.16,0.3392,0.0557,0.0256
0.17,0.3721,0.0545,0.0254
0.19,0.4029,0.0530,0.0251
0.21,0.4327,0.0514,0.0247
0.23,0.4606,0.0495,0.0242
0.24,0.4864,0.0475,0.0237
0.26,0.5105,0.0452,0.0230
0.28,0.5315,0.0427,0.0223
0.29,0.5499,0.0398,0.0213
0.31,0.5660,0.0369,0.0203
0.33,0.5783,0.0338,0.0192
0.35,0.5867,0.0307,0.0181
0.36,0.5909,0.0275,0.0169
0.38,0.5901,0.0242,0.0157
0.40,0.5826,0.0209,0.0143
0.42,0.5660,0.0175,0.0129
0.43,0.5348,0.0141,0.0115
0.45,0.4821,0.0107,0.0100
0.47,0.3966,0.0072,0.0085
0.49,0.2550,0.0036,0.0069
0.50,-0.0025,-0.0000,0.0053
