# J, eta_p, CT, CP
0.00,0.0000,0.1081,0.1021
0.04,0.0592,0.1083,0.1017
0.08,0.1164,0.1085,0.1013
0.13,0.1715,0.1087,0.1010
0.17,0.2246,0.1090,0.1006
0.21,0.2758,0.1092,0.1004
0.25,0.3251,0.1093,0.1000
0.30,0.3723,0.1095,0.1003
0.34,0.4178,0.1095,0.1003
0.38,0.4614,0.1095,0.1005
0.42,0.5031,0.1095,0.1012
0.46,0.5436,0.1093,0.1014
0.51,0.5832,0.1089,0.1012
0.55,0.6224,0.1081,0.1004
0.59,0.6602,0.1069,0.0993
0.63,0.6989,0.1046,0.0972
0.67,0.7364,0.1009,0.0941
0.72,0.7724,0.0951,0.0891
0.76,0.8027,0.0879,0.0835
0.80,0.8243,0.0807,0.0785
0.84,0.8399,0.0734,0.0737
0.89,0.8532,0.0659,0.0683
0.93,0.8635,0.0582,0.0625
0.97,0.8708,0.0503,0.0560
1.01,0.8755,0.0423,0.0489
1.05,0.8736,0.0342,0.0412
1.10,0.8600,0.0258,0.0328
1.14,0.8136,0.0173,0.0242
1.18,0.6672,0.0088,0.0155
1.22,0.0008,0.0000,0.0069
