# J, eta_p, CT, CP
0.00,0.0000,0.1004,0.0789
0.03,0.0529,0.1004,0.0778
0.06,0.1047,0.1003,0.0766
0.09,0.1555,0.1001,0.0752
0.13,0.2053,0.0999,0.0739
0.16,0.2543,0.0996,0.0725
0.19,0.3026,0.0991,0.0710
0.22,0.3504,0.0984,0.0694
0.25,0.3978,0.0975,0.0677
0.28,0.4450,0.0964,0.0659
0.31,0.4918,0.0949,0.0640
0.35,0.5381,0.0930,0.0621
0.38,0.5838,0.0907,0.0601
0.41,0.6279,0.0879,0.0581
0.44,0.6691,0.0843,0.0559
0.47,0.7050,0.0797,0.0534
0.50,0.7340,0.0747,0.0512
0.53,0.7566,0.0696,0.0491
0.57,0.7754,0.0644,0.0470
0.60,0.7915,0.0591,0.0446
0.63,0.8051,0.0537,0.0419
0.66,0.8158,0.0482,0.0389
0.69,0.8240,0.0425,0.0356
0.72,0.8289,0.0368,0.0321
0.75,0.8292,0.0309,0.0281
0.79,0.8224,0.0249,0.0238
0.82,0.8026,0.0188,0.0192
0.85,0.7543,0.0127,0.0142
0.88,0.5897,0.0064,0.0095
0.91,-0.0009,-0.0000,0.0050
