# J, eta_p, CT, CP
0.00,0.0000,0.1277,0.0524
0.03,0.0607,0.1260,0.0531
0.05,0.1179,0.1241,0.0538
0.08,0.1722,0.1219,0.0543
0.10,0.2239,0.1194,0.0544
0.13,0.2726,0.1165,0.0546
0.15,0.3186,0.1134,0.0545
0.18,0.3616,0.1100,0.0544
0.20,0.4033,0.1063,0.0538
0.23,0.4420,0.1025,0.0532
0.25,0.4788,0.0985,0.0525
0.28,0.5129,0.0943,0.0516
0.31,0.5451,0.0900,0.0506
0.33,0.5741,0.0856,0.0495
0.36,0.6002,0.0811,0.0483
0.38,0.6239,0.0765,0.0470
0.41,0.6450,0.0718,0.0455
0.43,0.6634,0.0670,0.0438
0.46,0.6794,0.0621,0.0420
0.48,0.6921,0.0570,0.0400
0.51,0.7014,0.0518,0.0378
0.53,0.7062,0.0465,0.0353
0.56,0.7046,0.0411,0.0328
0.59,0.6955,0.0355,0.0300
0.61,0.6766,0.0298,0.0271
0.64,0.6416,0.0240,0.0240
0.66,0.5834,0.0182,0.0207
0.69,0.4841,0.0122,0.0174
0.71,0.3104,0.0062,0.0142
0.74,-0.0027,-0.0000,0.0110
