# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1071,0.2444,18374.791,11.698,97.487
3.5,0.04,0.0192,0.1078,0.2414,18148.843,11.554,98.137
7.1,0.09,0.0396,0.1083,0.2355,17699.186,11.268,98.648
10.6,0.13,0.0603,0.1091,0.2334,17541.098,11.167,99.311
14.2,0.17,0.0818,0.1098,0.2307,17344.233,11.042,99.947
17.7,0.22,0.1042,0.1104,0.2279,17131.709,10.906,100.521
21.3,0.26,0.1294,0.1107,0.2208,16596.296,10.566,100.792
24.9,0.30,0.1563,0.1108,0.2135,16048.207,10.217,100.917
28.4,0.34,0.1876,0.1106,0.2029,15248.817,9.708,100.699
32.0,0.39,0.2220,0.1102,0.1921,14441.969,9.194,100.343
35.5,0.43,0.2611,0.1096,0.1805,13564.281,8.636,99.760
39.1,0.47,0.3021,0.1089,0.1705,12817.089,8.160,99.160
42.6,0.52,0.3510,0.1079,0.1586,11921.504,7.589,98.235
46.1,0.56,0.4004,0.1068,0.1492,11212.343,7.138,97.287
49.7,0.60,0.4558,0.1055,0.1394,10476.337,6.669,96.073
53.2,0.65,0.5166,0.1039,0.1297,9751.517,6.208,94.609
56.8,0.69,0.5748,0.1022,0.1223,9192.988,5.852,93.021
60.4,0.73,0.6317,0.1003,0.1160,8721.706,5.552,91.291
63.9,0.77,0.6765,0.0983,0.1125,8456.982,5.384,89.534
67.5,0.82,0.7207,0.0958,0.1086,8166.905,5.199,87.261
71.0,0.86,0.7760,0.0898,0.0995,7478.624,4.761,81.741
74.6,0.90,0.8155,0.0829,0.0918,6902.944,4.395,75.513
78.1,0.95,0.8376,0.0746,0.0842,6330.992,4.030,67.893
81.7,0.99,0.8422,0.0665,0.0781,5871.641,3.738,60.567
85.2,1.03,0.8403,0.0565,0.0694,5217.662,3.322,51.461
88.7,1.08,0.8410,0.0446,0.0570,4287.029,2.729,40.626
92.3,1.12,0.8130,0.0337,0.0464,3486.893,2.220,30.711
95.8,1.16,0.7447,0.0232,0.0361,2715.839,1.729,21.102
99.4,1.20,0.5546,0.0121,0.0262,1971.630,1.255,11.000
103.0,1.25,0.0150,0.0002,0.0155,1167.766,0.744,0.169
