# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0762,0.0249,14.914,0.047,2.736
0.3,0.02,0.0551,0.0748,0.0250,14.914,0.047,2.682
0.6,0.04,0.1076,0.0732,0.0251,14.914,0.047,2.624
0.9,0.06,0.1574,0.0715,0.0252,14.914,0.047,2.567
1.2,0.07,0.2044,0.0698,0.0252,14.914,0.047,2.504
1.5,0.09,0.2488,0.0680,0.0252,14.914,0.047,2.438
1.8,0.11,0.2904,0.0661,0.0252,14.914,0.047,2.371
2.1,0.13,0.3293,0.0641,0.0252,14.914,0.047,2.300
2.4,0.15,0.3654,0.0620,0.0251,14.914,0.047,2.224
2.7,0.17,0.3988,0.0598,0.0249,14.914,0.047,2.144
3.0,0.18,0.4296,0.0576,0.0248,14.914,0.046,2.064
3.4,0.20,0.4576,0.0552,0.0245,14.168,0.046,1.979
3.7,0.22,0.4829,0.0527,0.0242,14.168,0.045,1.890
3.9,0.24,0.5059,0.0501,0.0238,14.168,0.045,1.797
4.2,0.26,0.5266,0.0475,0.0233,13.423,0.044,1.704
4.6,0.28,0.5450,0.0449,0.0228,13.423,0.043,1.610
4.9,0.30,0.5613,0.0421,0.0222,13.423,0.042,1.512
5.2,0.31,0.5754,0.0393,0.0214,12.677,0.040,1.410
5.5,0.33,0.5870,0.0364,0.0206,11.931,0.039,1.303
5.8,0.35,0.5961,0.0334,0.0197,11.931,0.037,1.197
6.1,0.37,0.6025,0.0303,0.0186,11.185,0.035,1.090
6.4,0.39,0.6066,0.0272,0.0174,10.440,0.033,0.974
6.7,0.41,0.6063,0.0240,0.0161,9.694,0.030,0.863
7.0,0.42,0.5992,0.0207,0.0147,8.948,0.028,0.743
7.3,0.44,0.5832,0.0174,0.0132,7.457,0.025,0.623
7.6,0.46,0.5544,0.0140,0.0117,6.711,0.022,0.503
7.9,0.48,0.5067,0.0106,0.0100,5.966,0.019,0.378
8.2,0.50,0.4254,0.0071,0.0083,5.220,0.016,0.254
8.5,0.52,0.2787,0.0036,0.0066,3.728,0.012,0.129
8.8,0.54,-0.0025,0.0000,0.0050,2.983,0.009,0.000
