# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0876,0.0298,1788.934,1.220,68.418
1.4,0.02,0.0539,0.0858,0.0293,1756.869,1.199,67.004
2.8,0.04,0.1073,0.0839,0.0288,1725.550,1.177,65.505
4.2,0.06,0.1600,0.0818,0.0283,1694.230,1.156,63.930
5.6,0.07,0.2116,0.0797,0.0278,1663.656,1.135,62.271
7.1,0.09,0.2618,0.0775,0.0273,1634.574,1.115,60.567
8.5,0.11,0.3104,0.0753,0.0268,1606.238,1.096,58.805
9.9,0.13,0.3571,0.0729,0.0263,1577.901,1.077,56.968
11.3,0.15,0.4016,0.0705,0.0259,1550.310,1.057,55.060
12.7,0.17,0.4441,0.0680,0.0254,1520.482,1.037,53.076
14.1,0.18,0.4841,0.0653,0.0248,1489.163,1.016,51.017
15.6,0.20,0.5217,0.0626,0.0243,1456.352,0.993,48.868
16.9,0.22,0.5567,0.0597,0.0237,1420.558,0.969,46.644
18.4,0.24,0.5893,0.0568,0.0231,1384.019,0.944,44.380
19.8,0.26,0.6197,0.0538,0.0224,1342.260,0.916,42.049
21.2,0.28,0.6480,0.0508,0.0217,1298.263,0.885,39.678
22.6,0.29,0.6743,0.0477,0.0208,1249.047,0.852,37.236
24.0,0.31,0.6982,0.0445,0.0199,1195.357,0.815,34.741
25.4,0.33,0.7195,0.0412,0.0190,1137.938,0.776,32.187
26.9,0.35,0.7378,0.0379,0.0180,1076.791,0.734,29.576
28.3,0.37,0.7530,0.0344,0.0168,1009.678,0.689,26.898
29.7,0.39,0.7646,0.0309,0.0156,938.090,0.640,24.158
31.1,0.41,0.7716,0.0273,0.0144,860.538,0.587,21.356
32.5,0.42,0.7711,0.0237,0.0130,779.256,0.532,18.487
33.9,0.44,0.7606,0.0199,0.0116,693.501,0.473,15.555
35.3,0.46,0.7355,0.0161,0.0101,603.271,0.412,12.566
36.7,0.48,0.6858,0.0122,0.0085,509.313,0.348,9.510
38.2,0.50,0.5902,0.0082,0.0069,413.118,0.282,6.392
39.6,0.52,0.4020,0.0041,0.0053,316.177,0.215,3.207
41.0,0.53,-0.0055,0.0000,0.0037,223.710,0.153,-0.031
