# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0950,0.0343,93.958,0.179,9.466
0.7,0.02,0.0651,0.0939,0.0347,94.704,0.181,9.355
1.3,0.05,0.1272,0.0926,0.0351,95.450,0.183,9.226
2.0,0.07,0.1860,0.0911,0.0354,96.941,0.185,9.079
2.6,0.10,0.2418,0.0895,0.0357,97.687,0.186,8.914
3.3,0.12,0.2945,0.0877,0.0359,97.687,0.187,8.741
4.0,0.14,0.3442,0.0858,0.0360,98.432,0.188,8.545
4.6,0.17,0.3909,0.0837,0.0361,98.432,0.188,8.336
5.3,0.19,0.4346,0.0814,0.0361,98.432,0.188,8.109
5.9,0.22,0.4753,0.0789,0.0360,98.432,0.188,7.860
6.6,0.24,0.5131,0.0763,0.0358,97.687,0.187,7.598
7.2,0.26,0.5479,0.0735,0.0355,96.941,0.185,7.317
7.9,0.29,0.5798,0.0704,0.0351,96.195,0.183,7.019
8.6,0.31,0.6089,0.0672,0.0346,94.704,0.180,6.699
9.3,0.34,0.6351,0.0638,0.0339,92.467,0.177,6.357
9.9,0.36,0.6582,0.0602,0.0330,90.230,0.172,5.996
10.6,0.39,0.6786,0.0565,0.0321,87.247,0.167,5.627
11.2,0.41,0.6964,0.0527,0.0310,84.264,0.162,5.249
11.9,0.43,0.7117,0.0488,0.0297,81.281,0.155,4.857
12.6,0.46,0.7244,0.0448,0.0283,77.553,0.148,4.462
13.2,0.48,0.7337,0.0407,0.0267,73.079,0.139,4.052
13.9,0.51,0.7399,0.0365,0.0250,67.859,0.130,3.634
14.5,0.53,0.7429,0.0322,0.0230,62.639,0.120,3.212
15.2,0.55,0.7420,0.0279,0.0208,56.673,0.108,2.776
15.8,0.58,0.7340,0.0234,0.0184,49.962,0.096,2.331
16.5,0.60,0.7137,0.0188,0.0159,43.251,0.083,1.877
17.2,0.63,0.6744,0.0142,0.0132,35.794,0.069,1.419
17.8,0.65,0.5995,0.0095,0.0104,28.337,0.054,0.952
18.5,0.67,0.4348,0.0048,0.0074,20.134,0.039,0.476
19.1,0.70,-0.0045,0.0000,0.0046,12.677,0.024,-0.004
