# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1801,0.0906,255.775,0.610,20.137
0.8,0.03,0.0652,0.1802,0.0930,262.486,0.626,20.146
1.7,0.07,0.1271,0.1802,0.0954,269.198,0.642,20.146
2.5,0.10,0.1858,0.1801,0.0979,275.909,0.659,20.137
3.4,0.13,0.2413,0.1797,0.1002,282.620,0.675,20.084
4.2,0.17,0.2939,0.1786,0.1023,288.586,0.689,19.973
5.1,0.20,0.3438,0.1770,0.1039,293.060,0.700,19.786
5.9,0.24,0.3910,0.1747,0.1053,296.789,0.709,19.532
6.8,0.27,0.4355,0.1718,0.1062,299.771,0.715,19.207
7.6,0.30,0.4775,0.1683,0.1067,301.263,0.719,18.812
8.5,0.34,0.5170,0.1641,0.1068,301.263,0.719,18.344
9.3,0.37,0.5541,0.1592,0.1063,299.771,0.716,17.797
10.2,0.40,0.5891,0.1534,0.1052,296.789,0.708,17.152
11.0,0.44,0.6218,0.1468,0.1033,291.569,0.695,16.409
11.9,0.47,0.6521,0.1392,0.1005,283.366,0.677,15.560
12.7,0.50,0.6799,0.1313,0.0975,275.163,0.656,14.679
13.6,0.54,0.7054,0.1232,0.0940,265.469,0.633,13.776
14.4,0.57,0.7284,0.1150,0.0903,255.029,0.608,12.851
15.3,0.61,0.7485,0.1065,0.0862,243.098,0.580,11.903
16.1,0.64,0.7663,0.0978,0.0816,230.421,0.550,10.934
17.0,0.67,0.7818,0.0889,0.0766,216.253,0.516,9.942
17.8,0.71,0.7945,0.0798,0.0710,200.593,0.478,8.923
18.7,0.74,0.8022,0.0705,0.0651,183.442,0.438,7.882
19.5,0.77,0.8057,0.0610,0.0586,165.545,0.394,6.815
20.4,0.81,0.8035,0.0512,0.0515,145.411,0.347,5.725
21.2,0.84,0.7906,0.0413,0.0439,123.786,0.296,4.613
22.1,0.87,0.7569,0.0312,0.0360,101.415,0.243,3.487
22.9,0.91,0.6821,0.0210,0.0279,79.044,0.188,2.344
23.8,0.94,0.5027,0.0106,0.0198,55.927,0.133,1.179
24.6,0.98,-0.0004,0.0000,0.0120,33.556,0.081,0.000
