# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1805,0.3155,7359.312,8.784,82.888
1.9,0.04,0.0225,0.1806,0.3036,7080.420,8.452,82.928
3.8,0.08,0.0470,0.1805,0.2905,6775.429,8.088,82.875
5.8,0.11,0.0739,0.1802,0.2769,6457.761,7.709,82.724
7.7,0.15,0.1035,0.1796,0.2627,6127.416,7.314,82.457
9.6,0.19,0.1364,0.1787,0.2479,5781.411,6.901,82.052
11.5,0.23,0.1731,0.1775,0.2329,5432.424,6.485,81.514
13.5,0.26,0.2141,0.1761,0.2178,5080.453,6.064,80.829
15.4,0.30,0.2607,0.1742,0.2023,4717.297,5.631,79.966
17.3,0.34,0.3133,0.1719,0.1869,4358.616,5.202,78.920
19.2,0.38,0.3738,0.1691,0.1712,3991.731,4.765,77.626
21.1,0.42,0.4415,0.1655,0.1561,3640.507,4.345,75.993
23.1,0.45,0.5156,0.1604,0.1413,3295.248,3.933,73.640
25.0,0.49,0.5909,0.1539,0.1281,2987.274,3.566,70.633
26.9,0.53,0.6558,0.1463,0.1182,2755.361,3.289,67.146
28.8,0.57,0.7057,0.1374,0.1106,2578.630,3.078,63.102
30.8,0.61,0.7397,0.1285,0.1052,2453.353,2.929,59.006
32.7,0.64,0.7652,0.1198,0.1007,2348.955,2.804,54.993
34.6,0.68,0.7886,0.1108,0.0957,2233.371,2.665,50.892
36.5,0.72,0.8096,0.1017,0.0903,2107.348,2.515,46.702
38.4,0.76,0.8279,0.0924,0.0844,1969.393,2.351,42.414
40.4,0.79,0.8433,0.0828,0.0780,1819.508,2.172,38.010
42.3,0.83,0.8551,0.0731,0.0711,1659.182,1.981,33.544
44.2,0.87,0.8611,0.0631,0.0638,1487.671,1.776,28.980
46.1,0.91,0.8587,0.0530,0.0561,1307.958,1.561,24.345
48.1,0.95,0.8438,0.0427,0.0479,1117.058,1.333,19.603
50.0,0.98,0.8063,0.0322,0.0393,917.211,1.095,14.795
51.9,1.02,0.7234,0.0216,0.0305,712.143,0.850,9.928
53.8,1.06,0.5376,0.0109,0.0215,501.110,0.598,5.004
55.7,1.10,0.0005,0.0000,0.0123,287.840,0.343,0.004
