# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0789,0.0230,1444.421,1.380,73.280
1.0,0.02,0.0515,0.0770,0.0228,1433.981,1.369,71.496
2.1,0.03,0.1012,0.0750,0.0226,1422.050,1.358,69.664
3.1,0.05,0.1491,0.0730,0.0224,1408.627,1.345,67.782
4.1,0.06,0.1951,0.0709,0.0222,1394.459,1.331,65.851
5.2,0.08,0.2393,0.0688,0.0219,1378.053,1.316,63.876
6.2,0.09,0.2817,0.0666,0.0216,1360.157,1.299,61.848
7.2,0.11,0.3223,0.0644,0.0213,1340.768,1.280,59.766
8.3,0.12,0.3612,0.0621,0.0210,1318.397,1.259,57.636
9.3,0.14,0.3982,0.0597,0.0206,1294.535,1.236,55.452
10.3,0.15,0.4334,0.0573,0.0202,1268.435,1.211,53.210
11.4,0.17,0.4667,0.0548,0.0197,1239.353,1.184,50.919
12.4,0.18,0.4978,0.0523,0.0192,1209.525,1.155,48.570
13.4,0.20,0.5269,0.0497,0.0187,1175.969,1.123,46.150
14.4,0.21,0.5539,0.0470,0.0181,1140.921,1.089,43.690
15.5,0.23,0.5784,0.0443,0.0175,1102.890,1.053,41.159
16.5,0.24,0.6002,0.0415,0.0169,1061.877,1.014,38.571
17.6,0.26,0.6190,0.0387,0.0162,1018.626,0.973,35.919
18.6,0.27,0.6343,0.0358,0.0155,973.138,0.930,33.206
19.6,0.29,0.6450,0.0328,0.0147,926.159,0.885,30.444
20.7,0.31,0.6508,0.0297,0.0139,876.943,0.837,27.619
21.7,0.32,0.6507,0.0266,0.0131,824.744,0.788,24.741
22.7,0.34,0.6431,0.0235,0.0122,770.308,0.736,21.801
23.7,0.35,0.6262,0.0203,0.0114,714.380,0.682,18.825
24.8,0.37,0.5975,0.0170,0.0104,656.216,0.626,15.809
25.8,0.38,0.5527,0.0137,0.0095,595.068,0.568,12.740
26.9,0.40,0.4851,0.0104,0.0085,532.430,0.508,9.613
27.9,0.41,0.3839,0.0069,0.0074,466.808,0.446,6.428
28.9,0.43,0.2317,0.0035,0.0064,400.441,0.382,3.207
30.0,0.44,-0.0043,-0.0001,0.0053,332.582,0.318,-0.049
