# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1137,0.0465,2845.591,3.019,107.718
1.7,0.03,0.0652,0.1136,0.0476,2913.449,3.091,107.629
3.5,0.05,0.1273,0.1135,0.0488,2982.799,3.165,107.522
5.3,0.08,0.1863,0.1133,0.0499,3052.895,3.239,107.362
7.1,0.11,0.2423,0.1130,0.0510,3119.263,3.310,107.024
8.8,0.14,0.2957,0.1119,0.0517,3164.750,3.358,106.019
10.6,0.16,0.3467,0.1101,0.0521,3187.121,3.382,104.311
12.3,0.19,0.3952,0.1079,0.0522,3196.070,3.391,102.207
14.1,0.22,0.4413,0.1053,0.0522,3192.341,3.387,99.747
15.9,0.25,0.4848,0.1024,0.0520,3181.156,3.375,97.056
17.7,0.27,0.5260,0.0994,0.0517,3160.276,3.353,94.147
19.4,0.30,0.5651,0.0960,0.0511,3125.228,3.316,90.939
21.2,0.33,0.6020,0.0923,0.0503,3078.249,3.267,87.474
22.9,0.36,0.6365,0.0884,0.0493,3018.593,3.203,83.724
24.7,0.38,0.6686,0.0839,0.0480,2937.312,3.117,79.463
26.5,0.41,0.6983,0.0791,0.0465,2842.608,3.016,74.948
28.3,0.44,0.7261,0.0742,0.0447,2735.973,2.903,70.317
30.0,0.46,0.7516,0.0692,0.0428,2618.898,2.778,65.576
31.8,0.49,0.7747,0.0641,0.0407,2491.383,2.643,60.723
33.5,0.52,0.7959,0.0589,0.0384,2349.700,2.493,55.758
35.3,0.55,0.8152,0.0535,0.0359,2194.595,2.329,50.670
37.1,0.57,0.8317,0.0480,0.0331,2027.558,2.151,45.483
38.8,0.60,0.8451,0.0424,0.0302,1846.353,1.959,40.172
40.6,0.63,0.8543,0.0367,0.0270,1651.725,1.753,34.754
42.4,0.66,0.8576,0.0309,0.0236,1444.421,1.532,29.229
44.1,0.68,0.8513,0.0249,0.0200,1221.456,1.296,23.567
45.9,0.71,0.8291,0.0188,0.0161,987.307,1.048,17.837
47.7,0.74,0.7739,0.0127,0.0121,738.989,0.784,11.997
49.4,0.77,0.6219,0.0064,0.0078,478.739,0.508,6.023
51.2,0.79,-0.0113,-0.0001,0.0041,248.318,0.263,-0.053
