# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1026,0.0693,1119.296,2.138,42.378
1.0,0.03,0.0403,0.1018,0.0664,1072.316,2.048,42.049
2.1,0.05,0.0834,0.1008,0.0635,1026.083,1.959,41.649
3.1,0.08,0.1294,0.0996,0.0607,980.595,1.872,41.168
4.1,0.11,0.1781,0.0983,0.0579,936.599,1.788,40.603
5.1,0.13,0.2293,0.0967,0.0554,894.840,1.709,39.945
6.2,0.16,0.2822,0.0948,0.0530,856.063,1.634,39.184
7.2,0.18,0.3362,0.0928,0.0507,819.524,1.565,38.321
8.2,0.21,0.3901,0.0904,0.0487,786.713,1.502,37.352
9.3,0.24,0.4431,0.0878,0.0468,756.885,1.445,36.271
10.3,0.26,0.4941,0.0850,0.0451,729.294,1.393,35.101
11.3,0.29,0.5425,0.0819,0.0436,704.686,1.346,33.838
12.3,0.32,0.5879,0.0786,0.0421,680.824,1.300,32.476
13.4,0.34,0.6299,0.0751,0.0407,657.707,1.256,31.026
14.4,0.37,0.6679,0.0714,0.0393,634.591,1.212,29.483
15.4,0.39,0.7017,0.0674,0.0378,611.474,1.167,27.837
16.5,0.42,0.7303,0.0631,0.0363,586.866,1.121,26.080
17.5,0.45,0.7537,0.0588,0.0348,563.003,1.075,24.301
18.5,0.47,0.7743,0.0544,0.0332,536.904,1.025,22.486
19.5,0.50,0.7925,0.0499,0.0314,507.822,0.970,20.631
20.5,0.53,0.8080,0.0453,0.0295,476.502,0.910,18.731
21.5,0.55,0.8200,0.0406,0.0273,441.454,0.844,16.796
22.6,0.58,0.8286,0.0359,0.0250,404.169,0.772,14.826
23.6,0.60,0.8335,0.0310,0.0225,363.156,0.694,12.811
24.6,0.63,0.8324,0.0261,0.0197,318.414,0.609,10.765
25.7,0.66,0.8171,0.0210,0.0169,272.926,0.521,8.678
26.7,0.68,0.7816,0.0159,0.0139,223.710,0.428,6.557
27.7,0.71,0.7103,0.0107,0.0106,172.257,0.328,4.404
28.7,0.74,0.5458,0.0054,0.0072,116.329,0.223,2.215
29.8,0.76,-0.0003,0.0000,0.0039,63.384,0.121,0.000
