# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0986,0.0361,4018.577,4.797,157.850
1.7,0.02,0.0650,0.0985,0.0370,4119.992,4.918,157.729
3.4,0.05,0.1267,0.0983,0.0380,4220.661,5.038,157.463
5.1,0.07,0.1855,0.0976,0.0386,4292.994,5.125,156.275
6.8,0.10,0.2414,0.0965,0.0391,4348.176,5.190,154.500
8.5,0.12,0.2947,0.0950,0.0394,4386.207,5.236,152.205
10.2,0.15,0.3454,0.0933,0.0397,4411.560,5.266,149.500
11.9,0.17,0.3937,0.0914,0.0397,4419.763,5.276,146.338
13.6,0.20,0.4396,0.0892,0.0397,4413.798,5.269,142.788
15.3,0.22,0.4833,0.0867,0.0395,4391.427,5.242,138.829
17.0,0.24,0.5248,0.0840,0.0391,4352.650,5.195,134.479
18.7,0.27,0.5639,0.0810,0.0387,4298.214,5.131,129.723
20.4,0.29,0.6007,0.0778,0.0380,4226.627,5.045,124.559
22.1,0.32,0.6348,0.0743,0.0372,4140.871,4.942,119.026
23.8,0.34,0.6663,0.0706,0.0363,4034.982,4.816,113.060
25.5,0.37,0.6957,0.0666,0.0351,3904.485,4.661,106.628
27.2,0.39,0.7230,0.0625,0.0338,3759.819,4.488,100.036
28.9,0.42,0.7479,0.0582,0.0324,3601.730,4.299,93.279
30.6,0.44,0.7704,0.0539,0.0308,3426.491,4.091,86.353
32.3,0.46,0.7910,0.0495,0.0291,3233.355,3.860,79.258
34.0,0.49,0.8091,0.0450,0.0272,3023.067,3.609,72.008
35.7,0.51,0.8241,0.0404,0.0252,2797.866,3.340,64.642
37.4,0.54,0.8347,0.0356,0.0230,2555.513,3.050,57.080
39.1,0.56,0.8399,0.0308,0.0206,2295.264,2.740,49.349
40.8,0.59,0.8370,0.0259,0.0182,2020.847,2.412,41.493
42.5,0.61,0.8223,0.0209,0.0155,1727.041,2.061,33.446
44.2,0.64,0.7890,0.0158,0.0127,1415.338,1.690,25.293
45.9,0.66,0.7203,0.0106,0.0097,1082.756,1.292,17.001
47.6,0.69,0.5558,0.0053,0.0066,732.277,0.874,8.558
49.3,0.71,-0.0042,0.0000,0.0038,420.575,0.502,-0.036
