# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1136,0.2336,6658.354,12.716,73.912
1.8,0.04,0.0214,0.1144,0.2261,6442.101,12.304,74.379
3.7,0.08,0.0446,0.1150,0.2179,6208.697,11.857,74.788
5.5,0.13,0.0699,0.1155,0.2092,5962.616,11.388,75.122
7.4,0.17,0.0978,0.1159,0.2001,5701.621,10.890,75.353
9.3,0.21,0.1285,0.1160,0.1905,5430.186,10.371,75.464
11.1,0.25,0.1626,0.1160,0.1807,5150.549,9.837,75.446
13.0,0.30,0.2004,0.1157,0.1707,4863.455,9.289,75.268
14.8,0.34,0.2426,0.1152,0.1604,4571.140,8.731,74.930
16.6,0.38,0.2897,0.1144,0.1501,4277.334,8.169,74.419
18.5,0.42,0.3424,0.1133,0.1398,3982.783,7.606,73.711
20.3,0.46,0.4017,0.1119,0.1294,3687.486,7.043,72.795
22.2,0.51,0.4683,0.1102,0.1192,3396.663,6.488,71.661
24.1,0.55,0.5436,0.1080,0.1091,3108.077,5.936,70.246
25.9,0.59,0.6268,0.1053,0.0993,2829.185,5.403,68.467
27.8,0.63,0.7116,0.1005,0.0894,2548.802,4.867,65.358
29.6,0.68,0.7784,0.0943,0.0818,2331.058,4.452,61.310
31.4,0.72,0.8157,0.0878,0.0772,2200.560,4.203,57.080
33.3,0.76,0.8417,0.0810,0.0732,2084.977,3.981,52.694
35.1,0.80,0.8617,0.0739,0.0688,1961.191,3.746,48.081
37.0,0.84,0.8780,0.0670,0.0645,1837.404,3.510,43.606
38.8,0.89,0.8924,0.0601,0.0597,1700.941,3.249,39.078
40.7,0.93,0.9051,0.0530,0.0543,1548.819,2.958,34.443
42.6,0.97,0.9158,0.0457,0.0484,1381.036,2.637,29.719
44.4,1.01,0.9233,0.0384,0.0421,1199.831,2.292,24.959
46.3,1.06,0.9265,0.0309,0.0352,1004.458,1.918,20.124
48.1,1.10,0.9199,0.0234,0.0279,795.662,1.520,15.222
49.9,1.14,0.8915,0.0157,0.0201,572.698,1.093,10.218
51.8,1.18,0.8009,0.0079,0.0116,331.836,0.634,5.133
53.6,1.22,-0.0011,0.0000,0.0038,109.618,0.209,-0.004
