# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0932,0.0460,11748.501,10.199,255.746
2.2,0.02,0.0482,0.0932,0.0465,11867.813,10.303,255.559
4.5,0.05,0.0953,0.0931,0.0469,11990.854,10.409,255.319
6.7,0.07,0.1413,0.0930,0.0474,12119.114,10.521,255.043
8.9,0.10,0.1862,0.0929,0.0480,12251.103,10.635,254.772
11.2,0.12,0.2298,0.0928,0.0485,12389.058,10.755,254.452
13.4,0.14,0.2722,0.0926,0.0491,12535.961,10.883,254.091
15.6,0.17,0.3132,0.0922,0.0495,12646.324,10.979,252.864
17.9,0.19,0.3529,0.0911,0.0496,12678.389,11.007,249.910
20.2,0.22,0.3913,0.0896,0.0495,12659.747,10.990,245.924
22.4,0.24,0.4282,0.0878,0.0492,12579.957,10.921,240.729
24.6,0.26,0.4639,0.0854,0.0487,12432.308,10.792,234.292
26.9,0.29,0.4975,0.0827,0.0479,12248.866,10.634,226.930
29.1,0.31,0.5286,0.0797,0.0471,12035.596,10.448,218.683
31.3,0.34,0.5576,0.0765,0.0461,11791.006,10.236,209.863
33.6,0.36,0.5846,0.0731,0.0451,11515.097,9.996,200.526
35.8,0.38,0.6101,0.0695,0.0438,11186.244,9.711,190.611
38.0,0.41,0.6343,0.0652,0.0420,10721.673,9.308,178.756
40.3,0.43,0.6554,0.0604,0.0398,10178.058,8.836,165.603
42.5,0.46,0.6743,0.0554,0.0375,9591.937,8.327,152.107
44.7,0.48,0.6903,0.0504,0.0351,8967.041,7.784,138.291
47.0,0.50,0.7031,0.0452,0.0325,8292.183,7.199,124.070
49.2,0.53,0.7119,0.0399,0.0296,7574.819,6.576,109.533
51.5,0.55,0.7139,0.0345,0.0267,6818.680,5.919,94.569
53.7,0.58,0.7004,0.0291,0.0239,6113.993,5.308,79.734
55.9,0.60,0.6667,0.0236,0.0213,5430.186,4.714,64.704
58.2,0.62,0.6103,0.0180,0.0184,4709.095,4.088,49.389
60.4,0.65,0.5123,0.0121,0.0153,3911.942,3.396,33.166
62.7,0.67,0.3348,0.0060,0.0121,3092.417,2.685,16.525
64.9,0.70,-0.0174,-0.0002,0.0098,2510.771,2.180,-0.672
