# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1028,0.1134,1393.713,3.326,37.294
1.3,0.04,0.0362,0.1029,0.1103,1355.682,3.236,37.329
2.6,0.08,0.0746,0.1030,0.1071,1316.160,3.141,37.352
3.9,0.12,0.1154,0.1029,0.1038,1275.147,3.044,37.338
5.3,0.16,0.1590,0.1028,0.1003,1232.642,2.943,37.289
6.6,0.19,0.2055,0.1025,0.0968,1188.646,2.838,37.200
7.9,0.23,0.2553,0.1022,0.0931,1143.904,2.731,37.058
9.2,0.27,0.3084,0.1016,0.0895,1099.162,2.624,36.858
10.5,0.31,0.3650,0.1008,0.0857,1052.928,2.514,36.578
11.8,0.35,0.4251,0.0998,0.0819,1006.695,2.403,36.195
13.1,0.39,0.4882,0.0984,0.0782,960.461,2.292,35.679
14.4,0.43,0.5533,0.0965,0.0744,914.228,2.183,35.012
15.8,0.47,0.6191,0.0942,0.0708,870.232,2.077,34.171
17.1,0.50,0.6836,0.0913,0.0674,827.727,1.976,33.135
18.4,0.54,0.7445,0.0879,0.0641,788.205,1.881,31.894
19.7,0.58,0.7989,0.0837,0.0610,748.683,1.788,30.364
21.0,0.62,0.8409,0.0781,0.0577,708.415,1.692,28.349
22.4,0.66,0.8673,0.0727,0.0553,679.333,1.622,26.382
23.6,0.70,0.8899,0.0672,0.0527,648.013,1.547,24.385
24.9,0.74,0.9100,0.0616,0.0499,612.965,1.464,22.348
26.3,0.78,0.9273,0.0559,0.0468,574.189,1.372,20.275
27.6,0.81,0.9419,0.0501,0.0433,531.684,1.270,18.158
28.9,0.85,0.9532,0.0441,0.0395,485.451,1.159,16.005
30.2,0.89,0.9603,0.0381,0.0354,434.743,1.038,13.812
31.5,0.93,0.9626,0.0319,0.0309,379.561,0.906,11.579
32.9,0.97,0.9577,0.0256,0.0260,319.160,0.762,9.301
34.2,1.01,0.9347,0.0193,0.0208,255.775,0.610,6.993
35.5,1.05,0.8699,0.0129,0.0155,190.153,0.454,4.666
36.8,1.09,0.6943,0.0064,0.0101,123.786,0.296,2.340
38.1,1.12,-0.0091,0.0000,0.0049,59.656,0.143,-0.013
