# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1052,0.0567,87.247,0.416,9.541
0.8,0.05,0.0856,0.1054,0.0587,90.230,0.430,9.564
1.6,0.10,0.1656,0.1057,0.0608,93.212,0.446,9.581
2.4,0.14,0.2401,0.1059,0.0631,96.941,0.462,9.608
3.2,0.19,0.3092,0.1062,0.0655,100.669,0.480,9.635
4.0,0.24,0.3730,0.1065,0.0681,104.398,0.499,9.662
4.8,0.29,0.4317,0.1068,0.0708,108.872,0.519,9.688
5.6,0.33,0.4856,0.1071,0.0736,113.346,0.540,9.715
6.4,0.38,0.5350,0.1074,0.0766,117.821,0.561,9.746
7.2,0.43,0.5800,0.1078,0.0797,122.295,0.584,9.773
8.0,0.48,0.6210,0.1080,0.0829,127.515,0.608,9.795
8.9,0.52,0.6583,0.1083,0.0862,132.735,0.632,9.817
9.7,0.57,0.6920,0.1084,0.0896,137.954,0.657,9.835
10.5,0.62,0.7225,0.1085,0.0930,143.174,0.682,9.835
11.3,0.67,0.7501,0.1080,0.0961,147.649,0.704,9.795
12.1,0.71,0.7757,0.1060,0.0977,149.886,0.716,9.617
12.9,0.76,0.7991,0.1020,0.0973,149.140,0.713,9.248
13.7,0.81,0.8197,0.0964,0.0953,146.157,0.699,8.745
14.5,0.86,0.8381,0.0900,0.0921,141.683,0.675,8.158
15.3,0.91,0.8546,0.0825,0.0874,134.226,0.641,7.486
16.1,0.95,0.8686,0.0748,0.0821,126.023,0.602,6.788
16.9,1.00,0.8804,0.0670,0.0761,117.075,0.558,6.076
17.7,1.05,0.8898,0.0590,0.0696,106.635,0.510,5.356
18.6,1.10,0.8976,0.0510,0.0622,95.450,0.456,4.622
19.4,1.14,0.9014,0.0428,0.0543,83.518,0.398,3.879
20.2,1.19,0.9024,0.0344,0.0455,70.096,0.333,3.123
21.0,1.24,0.8953,0.0260,0.0360,55.182,0.264,2.358
21.8,1.29,0.8674,0.0174,0.0258,39.522,0.189,1.579
22.6,1.33,0.7729,0.0088,0.0151,23.117,0.111,0.792
23.4,1.38,-0.0012,0.0000,0.0050,7.457,0.036,0.000
