# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0933,0.0386,10.440,0.101,2.825
0.3,0.03,0.0660,0.0930,0.0392,10.440,0.103,2.816
0.5,0.06,0.1293,0.0926,0.0399,11.185,0.105,2.807
0.8,0.08,0.1898,0.0921,0.0405,11.185,0.107,2.789
1.0,0.11,0.2476,0.0913,0.0411,11.185,0.108,2.767
1.3,0.14,0.3026,0.0903,0.0415,11.185,0.109,2.736
1.5,0.17,0.3547,0.0889,0.0419,11.185,0.110,2.691
1.8,0.19,0.4038,0.0873,0.0421,11.931,0.111,2.642
2.0,0.22,0.4499,0.0853,0.0422,11.931,0.111,2.580
2.3,0.25,0.4927,0.0830,0.0422,11.931,0.111,2.513
2.5,0.28,0.5323,0.0804,0.0421,11.931,0.111,2.438
2.8,0.31,0.5686,0.0776,0.0418,11.185,0.110,2.349
3.0,0.33,0.6014,0.0746,0.0415,11.185,0.109,2.260
3.3,0.36,0.6306,0.0714,0.0410,11.185,0.108,2.162
3.5,0.39,0.6562,0.0680,0.0404,11.185,0.106,2.060
3.8,0.42,0.6783,0.0642,0.0395,11.185,0.104,1.944
4.1,0.45,0.6970,0.0602,0.0385,10.440,0.101,1.824
4.3,0.47,0.7123,0.0562,0.0373,10.440,0.098,1.699
4.6,0.50,0.7245,0.0520,0.0359,9.694,0.095,1.575
4.8,0.53,0.7337,0.0477,0.0344,9.694,0.091,1.446
5.1,0.56,0.7412,0.0433,0.0325,8.948,0.086,1.312
5.3,0.58,0.7465,0.0389,0.0304,8.203,0.080,1.179
5.6,0.61,0.7491,0.0343,0.0280,7.457,0.074,1.036
5.8,0.64,0.7484,0.0296,0.0254,6.711,0.067,0.899
6.1,0.67,0.7442,0.0249,0.0223,5.966,0.059,0.752
6.3,0.70,0.7309,0.0200,0.0191,5.220,0.050,0.605
6.6,0.72,0.7011,0.0151,0.0156,4.474,0.041,0.458
6.8,0.75,0.6398,0.0101,0.0119,2.983,0.031,0.307
7.1,0.78,0.4937,0.0051,0.0080,2.237,0.021,0.151
7.3,0.81,-0.0018,0.0000,0.0049,1.491,0.013,0.000
