# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1201,0.0723,83.518,0.040,3.465
1.7,0.04,0.0704,0.1203,0.0740,85.755,0.041,3.474
3.5,0.09,0.1378,0.1205,0.0758,87.993,0.042,3.479
5.2,0.13,0.2019,0.1208,0.0777,90.230,0.043,3.483
7.0,0.17,0.2628,0.1210,0.0797,92.467,0.044,3.492
8.7,0.22,0.3205,0.1212,0.0819,94.704,0.045,3.496
10.5,0.26,0.3749,0.1214,0.0842,97.687,0.047,3.505
12.2,0.30,0.4263,0.1215,0.0864,99.924,0.048,3.505
13.9,0.35,0.4746,0.1214,0.0887,102.907,0.049,3.505
15.7,0.39,0.5200,0.1211,0.0908,105.144,0.050,3.496
17.4,0.43,0.5624,0.1205,0.0928,107.381,0.051,3.479
19.2,0.48,0.6018,0.1196,0.0946,109.618,0.052,3.452
20.9,0.52,0.6383,0.1181,0.0962,111.855,0.053,3.407
22.7,0.56,0.6718,0.1163,0.0974,113.346,0.054,3.354
24.4,0.61,0.7023,0.1138,0.0983,114.092,0.054,3.283
26.1,0.65,0.7298,0.1107,0.0986,114.092,0.055,3.194
27.9,0.69,0.7545,0.1064,0.0977,113.346,0.054,3.069
29.6,0.74,0.7767,0.0997,0.0945,109.618,0.052,2.878
31.3,0.78,0.7953,0.0926,0.0907,105.144,0.050,2.669
33.1,0.82,0.8108,0.0851,0.0864,99.924,0.048,2.455
34.8,0.87,0.8231,0.0775,0.0816,94.704,0.045,2.237
36.6,0.91,0.8329,0.0696,0.0760,87.993,0.042,2.006
38.3,0.95,0.8403,0.0614,0.0696,80.536,0.039,1.770
40.1,1.00,0.8455,0.0529,0.0624,72.333,0.035,1.526
41.8,1.04,0.8489,0.0443,0.0543,62.639,0.030,1.277
43.5,1.08,0.8481,0.0357,0.0455,52.945,0.025,1.028
45.3,1.13,0.8391,0.0268,0.0360,41.759,0.020,0.774
47.0,1.17,0.8104,0.0179,0.0259,29.828,0.014,0.516
48.8,1.21,0.7182,0.0089,0.0151,17.897,0.008,0.258
50.5,1.26,0.0006,0.0000,0.0051,5.966,0.003,0.000
