# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.2781,0.1940,126.769,0.055,4.884
1.5,0.04,0.0579,0.2778,0.1978,129.006,0.056,4.875
3.1,0.08,0.1135,0.2774,0.2016,131.989,0.057,4.871
4.6,0.12,0.1667,0.2768,0.2054,134.226,0.058,4.857
6.1,0.16,0.2176,0.2760,0.2093,137.209,0.059,4.844
7.7,0.21,0.2662,0.2751,0.2131,139.446,0.061,4.831
9.2,0.25,0.3125,0.2738,0.2168,141.683,0.062,4.809
10.8,0.29,0.3567,0.2719,0.2201,143.920,0.062,4.773
12.3,0.33,0.3987,0.2690,0.2226,145.411,0.063,4.724
13.8,0.37,0.4388,0.2645,0.2237,146.157,0.063,4.644
15.4,0.41,0.4776,0.2565,0.2215,144.666,0.063,4.502
16.9,0.45,0.5149,0.2458,0.2166,141.683,0.061,4.315
18.4,0.49,0.5495,0.2350,0.2117,138.700,0.060,4.128
20.0,0.54,0.5818,0.2239,0.2063,134.972,0.059,3.932
21.5,0.58,0.6119,0.2124,0.2004,131.243,0.057,3.728
23.1,0.62,0.6397,0.2006,0.1940,126.769,0.055,3.523
24.6,0.66,0.6650,0.1885,0.1871,122.295,0.053,3.309
26.1,0.70,0.6877,0.1760,0.1795,117.075,0.051,3.092
27.7,0.74,0.7077,0.1631,0.1712,111.855,0.049,2.865
29.2,0.78,0.7245,0.1499,0.1622,105.889,0.046,2.633
30.7,0.82,0.7376,0.1363,0.1525,99.924,0.043,2.393
32.3,0.87,0.7466,0.1223,0.1419,92.467,0.040,2.148
33.8,0.91,0.7503,0.1079,0.1306,85.755,0.037,1.895
35.4,0.95,0.7463,0.0932,0.1185,77.553,0.034,1.637
36.9,0.99,0.7311,0.0782,0.1059,69.350,0.030,1.375
38.4,1.03,0.6998,0.0628,0.0926,60.402,0.026,1.103
40.0,1.07,0.6426,0.0473,0.0789,51.453,0.022,0.832
41.5,1.11,0.5407,0.0317,0.0653,42.505,0.019,0.556
43.0,1.15,0.3558,0.0159,0.0517,33.556,0.015,0.280
44.6,1.20,0.0000,0.0000,0.0384,25.354,0.011,0.000
