# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0917,0.0330,7.457,0.008,0.961
0.4,0.02,0.0525,0.0898,0.0331,7.457,0.008,0.943
0.8,0.04,0.1027,0.0878,0.0330,7.457,0.008,0.921
1.2,0.06,0.1506,0.0857,0.0330,7.457,0.008,0.899
1.6,0.08,0.1962,0.0835,0.0329,7.457,0.008,0.876
2.0,0.10,0.2394,0.0812,0.0328,7.457,0.008,0.854
2.4,0.12,0.2801,0.0788,0.0326,7.457,0.008,0.827
2.8,0.14,0.3184,0.0763,0.0324,7.457,0.008,0.801
3.2,0.15,0.3542,0.0736,0.0321,6.711,0.007,0.774
3.7,0.17,0.3875,0.0709,0.0318,6.711,0.007,0.743
4.1,0.19,0.4183,0.0681,0.0315,6.711,0.007,0.716
4.5,0.21,0.4466,0.0653,0.0311,6.711,0.007,0.685
4.9,0.23,0.4725,0.0623,0.0306,6.711,0.007,0.654
5.3,0.25,0.4960,0.0593,0.0300,6.711,0.007,0.623
5.7,0.27,0.5172,0.0562,0.0294,6.711,0.007,0.592
6.1,0.29,0.5360,0.0530,0.0287,5.966,0.007,0.556
6.5,0.31,0.5526,0.0497,0.0278,5.966,0.007,0.520
6.9,0.33,0.5671,0.0464,0.0269,5.966,0.006,0.489
7.3,0.35,0.5793,0.0430,0.0258,5.966,0.006,0.449
7.7,0.37,0.5891,0.0394,0.0246,5.220,0.006,0.414
8.1,0.39,0.5959,0.0358,0.0232,5.220,0.005,0.378
8.5,0.41,0.5994,0.0321,0.0218,4.474,0.005,0.338
8.9,0.43,0.5992,0.0284,0.0201,4.474,0.005,0.298
9.3,0.44,0.5931,0.0245,0.0184,3.728,0.004,0.258
9.7,0.46,0.5779,0.0206,0.0165,3.728,0.004,0.218
10.1,0.48,0.5501,0.0166,0.0145,2.983,0.003,0.173
10.5,0.50,0.5019,0.0125,0.0125,2.983,0.003,0.129
11.0,0.52,0.4183,0.0084,0.0104,2.237,0.002,0.089
11.4,0.54,0.2710,0.0042,0.0084,1.491,0.002,0.044
11.8,0.56,-0.0043,0.0000,0.0063,1.491,0.001,0.000
